fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,off_rtg,def_rtg,game_id,Location,Opponent,Win,opp_fg,opp_fga,opp_fg_pct,opp_fg3,opp_fg3a,opp_fg3_pct,opp_ft,opp_fta,opp_ft_pct,opp_orb,opp_drb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,opp_pts,opp_ts_pct,opp_efg_pct,opp_fg3a_per_fga_pct,opp_fta_per_fga_pct,opp_orb_pct,opp_drb_pct,opp_trb_pct,opp_ast_pct,opp_stl_pct,opp_blk_pct,opp_tov_pct,opp_off_rtg,opp_def_rtg
41,75,0.547,12,31,0.387,20,26,0.769,6,24,30,28,11,6,15,20,114,0.659,0.627,0.413,0.347,17.6,63.2,41.7,68.3,11.6,10.0,14.8,120.0,122.1,eb4c1682-e194-420a-8733-6bb4034eb381,Home,NYK,0,45,94,0.479,16,34,0.471,10,11,0.909,14,28,42,29,9,2,17,20,116,0.587,0.564,0.362,0.117,36.8,82.4,58.3,64.4,9.5,4.5,14.7,122.1,120.0
40,89,0.449,12,33,0.364,24,30,0.8,14,25,39,24,8,4,13,20,116,0.568,0.517,0.371,0.337,31.8,65.8,47.6,60.0,8.1,6.9,11.3,117.7,127.9,e5642dc2-7a72-490e-a103-a023d33465f1,Home,PHI,0,43,88,0.489,13,30,0.433,27,28,0.964,13,30,43,32,9,4,17,20,126,0.628,0.563,0.341,0.318,34.2,68.2,52.4,74.4,9.1,7.1,14.5,127.9,117.7
57,95,0.6,15,31,0.484,23,28,0.821,12,27,39,28,8,4,15,23,152,0.708,0.679,0.326,0.295,35.3,79.4,57.4,49.1,7.3,8.2,12.3,139.5,144.1,0b4dcd3b-85ff-4e81-95b8-b7a10c118983,Home,IND,0,57,94,0.606,22,45,0.489,21,28,0.75,7,22,29,35,7,11,14,25,157,0.738,0.723,0.479,0.298,20.6,64.7,42.6,61.4,6.4,17.2,11.6,144.1,139.5
51,116,0.44,18,49,0.367,27,29,0.931,22,36,58,24,10,8,14,18,147,0.571,0.517,0.422,0.25,37.3,62.1,49.6,47.1,8.7,10.3,9.8,127.4,125.7,44268d77-53fc-436c-87ba-db98d57ebaa6,Home,BRK,1,55,113,0.487,15,35,0.429,20,24,0.833,22,37,59,28,8,6,16,24,145,0.587,0.553,0.31,0.212,37.9,62.7,50.4,50.9,6.9,9.0,11.5,125.7,127.4
52,102,0.51,18,37,0.486,14,20,0.7,17,32,49,29,13,2,10,15,136,0.614,0.598,0.363,0.196,34.0,80.0,54.4,55.8,12.7,4.0,8.3,132.7,105.4,85e5307e-2223-4581-a650-d464f83247fa,Away,WAS,1,43,88,0.489,10,38,0.263,12,12,1.0,8,33,41,33,5,6,20,17,108,0.579,0.545,0.432,0.136,20.0,66.0,45.6,76.7,4.9,9.2,17.7,105.4,132.7
36,88,0.409,19,53,0.358,12,19,0.632,11,32,43,15,5,4,16,17,103,0.534,0.517,0.602,0.216,21.6,64.0,42.6,41.7,5.1,8.3,14.2,105.5,115.8,45f8bcf7-4b99-41a9-98ac-2b37aeaca262,Away,BOS,0,42,95,0.442,13,47,0.277,16,20,0.8,18,40,58,24,9,3,13,19,113,0.544,0.511,0.495,0.211,36.0,78.4,57.4,57.1,9.2,8.6,11.1,115.8,105.5
35,101,0.347,13,44,0.295,22,24,0.917,14,30,44,21,9,3,11,16,105,0.471,0.411,0.436,0.238,24.6,71.4,44.4,60.0,8.7,5.3,9.0,101.0,123.1,ecb6f0cd-805f-481c-a58f-2a931af64f05,Away,CLE,0,50,93,0.538,13,36,0.361,15,17,0.882,12,43,55,27,8,12,17,20,128,0.637,0.608,0.387,0.183,28.6,75.4,55.6,54.0,7.7,21.1,14.5,123.1,101.0
49,96,0.51,14,33,0.424,25,29,0.862,8,29,37,24,14,2,10,25,137,0.63,0.583,0.344,0.302,18.2,72.5,44.0,49.0,13.0,4.2,8.4,127.1,125.2,78c6b640-7c3f-432d-83bd-0d9982f31374,Away,SAS,1,48,89,0.539,18,41,0.439,21,23,0.913,11,36,47,34,4,7,21,22,135,0.681,0.64,0.461,0.258,27.5,81.8,56.0,70.8,3.7,11.1,17.5,125.2,127.1
45,101,0.446,15,38,0.395,16,21,0.762,15,25,40,23,11,4,11,14,121,0.549,0.52,0.376,0.208,29.4,75.8,47.6,51.1,10.8,7.1,9.1,118.4,129.1,e45b63a7-4ecc-41f4-982a-729988979d9b,Away,MIL,0,53,89,0.596,14,33,0.424,12,15,0.8,8,36,44,33,5,6,16,19,132,0.69,0.674,0.371,0.169,24.2,70.6,52.4,62.3,4.9,9.5,14.3,129.1,118.4
42,94,0.447,12,35,0.343,17,18,0.944,11,38,49,25,5,4,13,23,113,0.554,0.511,0.372,0.191,25.0,76.0,52.1,59.5,4.9,6.0,11.3,111.4,112.4,53335ce6-9e01-4bfb-a214-6fc8cbab41f2,Home,BRK,0,43,94,0.457,11,27,0.407,17,24,0.708,12,33,45,24,7,6,12,19,114,0.545,0.516,0.287,0.255,24.0,75.0,47.9,55.8,6.9,10.2,10.3,112.4,111.4
41,104,0.394,13,39,0.333,19,21,0.905,23,32,55,20,3,4,14,23,114,0.503,0.457,0.375,0.202,40.4,69.6,53.4,48.8,3.0,7.0,11.0,115.5,126.7,0846d726-fc9d-479c-93c2-f694af7d2fa6,Away,PHI,0,42,87,0.483,11,30,0.367,30,37,0.811,14,34,48,24,6,8,11,14,125,0.605,0.546,0.345,0.425,30.4,59.6,46.6,57.1,6.1,12.3,9.6,126.7,115.5
44,96,0.458,17,44,0.386,17,18,0.944,13,22,35,25,9,2,10,21,122,0.587,0.547,0.458,0.188,27.1,61.1,41.7,56.8,9.2,3.4,8.8,124.1,131.2,7fd4723a-7d32-4703-89d8-7b7bcf2d4354,Home,DEN,0,47,88,0.534,12,29,0.414,23,29,0.793,14,35,49,29,9,8,16,19,129,0.64,0.602,0.33,0.33,38.9,72.9,58.3,61.7,9.2,15.4,13.7,131.2,124.1
48,100,0.48,18,41,0.439,14,19,0.737,13,29,42,32,9,8,7,18,128,0.591,0.57,0.41,0.19,25.5,76.3,47.2,66.7,8.9,15.1,6.1,126.3,133.2,74e65631-5c4a-4d54-a6d9-08c2e4bd2e8c,Away,TOR,0,50,87,0.575,18,34,0.529,17,24,0.708,9,38,47,39,3,9,15,18,135,0.692,0.678,0.391,0.276,23.7,74.5,52.8,78.0,3.0,15.3,13.3,133.2,126.3
52,101,0.515,16,41,0.39,5,6,0.833,16,39,55,34,4,4,14,19,125,0.603,0.594,0.406,0.059,35.6,92.9,63.2,65.4,4.1,8.7,11.9,126.9,105.6,00e52821-faf6-4226-a26e-46e18af7dfe8,Away,TOR,1,40,77,0.519,10,31,0.323,14,25,0.56,3,29,32,30,8,6,14,19,104,0.591,0.584,0.403,0.325,7.1,64.4,36.8,75.0,8.1,10.0,13.7,105.6,126.9
41,85,0.482,15,36,0.417,22,25,0.88,6,28,34,21,5,4,11,21,119,0.62,0.571,0.424,0.294,16.2,60.9,41.0,51.2,5.1,6.8,10.3,122.3,130.5,e953d92a-7a36-41e1-9d72-6f354d4806fe,Away,CLE,0,49,101,0.485,16,42,0.381,13,15,0.867,18,31,49,32,8,3,11,22,127,0.59,0.564,0.416,0.149,39.1,83.8,59.0,65.3,8.2,6.1,9.3,130.5,122.3
46,85,0.541,16,36,0.444,22,27,0.815,11,29,40,25,6,10,18,24,130,0.671,0.635,0.424,0.318,31.4,70.7,52.6,54.3,5.9,13.9,15.7,127.4,121.5,faee6591-c1e1-46a2-96e3-537d3bdd812e,Home,DET,1,48,94,0.511,9,22,0.409,19,27,0.704,12,24,36,23,7,3,13,26,124,0.586,0.559,0.234,0.287,29.3,68.6,47.4,47.9,6.9,6.1,10.9,121.5,127.4
47,91,0.516,17,40,0.425,23,28,0.821,12,32,44,31,4,3,12,18,134,0.648,0.61,0.44,0.308,29.3,80.0,54.3,66.0,4.0,5.5,10.4,135.4,128.3,dc8ebe76-8f7f-4414-80f0-c1d106520445,Away,HOU,1,44,89,0.494,16,34,0.471,23,23,1.0,8,29,37,25,4,6,9,23,127,0.641,0.584,0.382,0.258,20.0,70.7,45.7,56.8,4.0,11.8,8.3,128.3,135.4
42,96,0.438,19,54,0.352,10,14,0.714,12,31,43,29,9,2,14,23,113,0.553,0.536,0.563,0.146,25.0,72.1,47.3,69.0,8.9,4.3,12.1,111.6,120.5,eb40249a-2413-4db9-84b6-40cf6f8ee1d1,Away,MIA,0,40,86,0.465,17,39,0.436,25,30,0.833,12,36,48,21,7,2,17,18,122,0.615,0.564,0.453,0.349,27.9,75.0,52.7,52.5,6.9,4.8,14.6,120.5,111.6
45,96,0.469,13,43,0.302,16,20,0.8,13,28,41,28,8,5,11,22,119,0.568,0.536,0.448,0.208,26.5,65.1,44.6,62.2,8.0,7.8,9.5,118.5,124.5,71974fb0-b3b9-44cc-9dcb-61a175022b15,Home,MEM,0,50,97,0.515,11,33,0.333,14,22,0.636,15,36,51,29,6,7,12,16,125,0.586,0.572,0.34,0.227,34.9,73.5,55.4,58.0,6.0,13.2,10.1,124.5,118.5
41,89,0.461,13,45,0.289,18,21,0.857,12,28,40,24,6,3,16,21,113,0.575,0.534,0.506,0.236,28.6,60.9,45.5,58.5,6.2,4.5,14.0,117.6,122.8,43e54111-9c21-453c-ac2f-bf4a36ee226a,Away,CHI,0,42,92,0.457,7,25,0.28,27,31,0.871,18,30,48,23,10,2,10,17,118,0.559,0.495,0.272,0.337,39.1,71.4,54.5,54.8,10.4,4.5,8.6,122.8,117.6
37,94,0.394,15,43,0.349,21,25,0.84,18,33,51,29,9,4,15,16,110,0.524,0.473,0.457,0.266,35.3,86.8,57.3,78.4,9.1,9.1,12.5,110.9,117.9,04a237de-f515-49a0-bf97-f291b7bf1da9,Home,SAC,0,46,89,0.517,17,45,0.378,8,15,0.533,5,33,38,35,9,3,12,20,117,0.612,0.612,0.506,0.169,13.2,64.7,42.7,76.1,9.1,5.9,11.2,117.9,110.9
47,95,0.495,12,32,0.375,24,37,0.649,12,46,58,27,5,3,12,18,130,0.584,0.558,0.337,0.389,25.0,88.5,58.0,57.4,4.6,6.7,9.7,119.3,115.6,dfcc2d0f-0659-4cad-ab46-13fcc5f59100,Away,WAS,1,46,98,0.469,17,53,0.321,17,21,0.81,6,36,42,35,5,9,9,21,126,0.587,0.556,0.541,0.214,11.5,75.0,42.0,76.1,4.6,14.3,7.7,115.6,119.3
48,95,0.505,14,39,0.359,31,33,0.939,15,34,49,30,8,5,13,21,141,0.644,0.579,0.411,0.347,34.9,79.1,57.0,62.5,7.7,9.1,10.6,135.0,132.1,1d391e05-b73b-4847-9528-0b3022aa6112,Home,OKC,1,50,91,0.549,18,36,0.5,20,26,0.769,9,28,37,30,10,1,13,23,138,0.674,0.648,0.396,0.286,20.9,65.1,43.0,60.0,9.6,1.8,11.3,132.1,135.0
40,93,0.43,10,42,0.238,26,30,0.867,14,25,39,21,6,3,14,11,116,0.546,0.484,0.452,0.323,31.1,75.8,50.0,52.5,5.8,5.5,11.6,111.7,144.4,e8cb9fe8-5a2c-44bb-9548-197bc6e94320,Away,IND,0,60,94,0.638,19,39,0.487,11,13,0.846,8,31,39,50,12,3,16,24,150,0.752,0.739,0.415,0.138,24.2,68.9,50.0,83.3,11.6,5.9,13.8,144.4,111.7
42,91,0.462,9,30,0.3,17,29,0.586,8,42,50,21,9,10,13,23,110,0.53,0.511,0.33,0.319,15.4,76.4,46.7,50.0,8.4,17.5,11.1,103.1,109.6,ad7ebaee-8605-4164-a98b-0e12bcb3a516,Away,ORL,0,43,98,0.439,17,41,0.415,14,22,0.636,13,44,57,25,8,3,13,24,117,0.543,0.526,0.418,0.224,23.6,84.6,53.3,58.1,7.5,4.9,10.8,109.6,103.1
48,102,0.471,12,34,0.353,31,42,0.738,16,39,55,32,6,8,13,21,139,0.577,0.529,0.333,0.412,29.6,75.0,51.9,66.7,5.3,11.8,9.7,123.1,116.9,2ff22264-9f7c-4963-8c50-1fe0bded8f5a,Home,PHI,1,46,102,0.451,12,34,0.353,28,33,0.848,13,38,51,26,8,9,11,28,132,0.566,0.51,0.333,0.324,25.0,70.4,48.1,56.5,7.1,13.2,8.6,116.9,123.1
40,89,0.449,11,30,0.367,17,23,0.739,12,16,28,25,14,2,15,13,108,0.545,0.511,0.337,0.258,25.5,61.5,38.4,62.5,14.0,3.3,13.1,108.0,126.1,326a7a1d-0c35-4071-95d0-2708bb8e296c,Home,IND,0,53,79,0.671,11,18,0.611,9,12,0.75,10,35,45,41,12,9,27,21,126,0.748,0.741,0.228,0.152,38.5,74.5,61.6,77.4,12.0,15.3,24.3,126.1,108.0
32,93,0.344,11,40,0.275,24,33,0.727,16,34,50,21,9,7,16,20,99,0.46,0.403,0.43,0.355,27.6,73.9,48.1,65.6,8.6,10.8,13.0,94.4,121.2,7a7d7a1e-de5f-4fa3-b447-942f59073e4d,Home,WAS,0,47,97,0.485,12,32,0.375,21,26,0.808,12,42,54,32,10,9,12,22,127,0.586,0.546,0.33,0.268,26.1,72.4,51.9,68.1,9.5,17.0,10.0,121.2,94.4
40,93,0.43,13,38,0.342,16,21,0.762,13,44,57,24,8,6,20,19,109,0.533,0.5,0.409,0.226,27.1,83.0,56.4,60.0,7.4,11.3,16.4,101.2,91.9,a1490cbc-a5b6-460b-9dca-821e9c161881,Home,SAS,1,38,95,0.4,11,42,0.262,12,17,0.706,9,35,44,27,10,8,18,18,99,0.483,0.458,0.442,0.179,17.0,72.9,43.6,71.1,9.3,14.5,14.9,91.9,101.2
39,76,0.513,8,25,0.32,20,22,0.909,10,31,41,21,8,2,23,17,106,0.619,0.566,0.329,0.289,29.4,66.0,50.6,53.8,8.5,3.8,21.2,112.7,110.6,ef3c4d35-fac3-4ac4-a1de-3a599f87baae,Home,ORL,1,39,88,0.443,10,35,0.286,16,22,0.727,16,24,40,18,16,8,13,22,104,0.532,0.5,0.398,0.25,34.0,70.6,49.4,46.2,17.0,15.7,11.7,110.6,112.7
40,87,0.46,15,35,0.429,14,17,0.824,9,29,38,23,6,2,15,20,109,0.577,0.546,0.402,0.195,22.5,69.0,46.3,57.5,6.3,3.9,13.7,113.7,112.7,f9a7a86f-6499-45dc-97f9-d7548dc68937,Away,MIA,1,38,82,0.463,12,31,0.387,20,22,0.909,13,31,44,21,7,2,18,17,108,0.589,0.537,0.378,0.268,31.0,77.5,53.7,55.3,7.3,3.8,16.4,112.7,113.7
37,93,0.398,11,38,0.289,10,15,0.667,11,34,45,25,5,4,11,15,95,0.477,0.457,0.409,0.161,19.6,89.5,47.9,67.6,5.0,9.5,9.9,95.5,116.6,d8a2351c-921b-461e-84ca-eabcc41101cc,Home,CLE,0,43,85,0.506,16,43,0.372,14,16,0.875,4,45,49,32,7,6,14,16,116,0.63,0.6,0.506,0.188,10.5,80.4,52.1,74.4,7.0,10.9,13.2,116.6,95.5
36,93,0.387,14,40,0.35,21,27,0.778,13,37,50,19,2,7,12,19,107,0.51,0.462,0.43,0.29,24.1,78.7,49.5,52.8,2.0,12.7,10.3,105.7,120.5,b37d361a-873a-4721-872b-9d52f74a665d,Away,SAC,0,43,93,0.462,12,38,0.316,24,27,0.889,10,41,51,22,8,2,9,21,122,0.582,0.527,0.409,0.29,21.3,75.9,50.5,51.2,7.9,3.8,7.9,120.5,105.7
39,94,0.415,14,43,0.326,20,26,0.769,13,32,45,30,7,2,11,16,112,0.531,0.489,0.457,0.277,25.5,74.4,47.9,76.9,7.0,3.4,9.4,112.4,134.5,5434e4d2-6eb0-4cbd-9e4e-2747f10a65ca,Away,GSW,0,51,91,0.56,16,33,0.485,16,22,0.727,11,38,49,26,6,9,10,18,134,0.665,0.648,0.363,0.242,25.6,74.5,52.1,51.0,6.0,17.6,9.0,134.5,112.4
51,97,0.526,15,34,0.441,26,30,0.867,12,24,36,32,7,2,7,24,143,0.649,0.603,0.351,0.309,27.9,80.0,49.3,62.7,6.8,4.0,6.0,139.0,143.8,32ceccc4-f7dc-4cb3-938f-5063b34c894f,Home,DAL,0,51,85,0.6,19,35,0.543,27,32,0.844,6,31,37,28,3,5,13,25,148,0.747,0.712,0.412,0.376,20.0,72.1,50.7,54.9,2.9,7.9,11.6,143.8,139.0
44,95,0.463,6,27,0.222,32,40,0.8,20,31,51,27,7,4,14,21,126,0.56,0.495,0.284,0.421,39.2,67.4,52.6,61.4,6.9,6.9,11.1,124.4,123.4,87397f9d-c65b-4b28-aee8-da0fd81078ad,Home,TOR,1,41,89,0.461,15,31,0.484,28,32,0.875,15,31,46,29,12,3,14,30,125,0.606,0.545,0.348,0.36,32.6,60.8,47.4,70.7,11.8,4.4,12.0,123.4,124.4
53,101,0.525,16,38,0.421,16,18,0.889,12,34,46,32,10,2,12,18,138,0.633,0.604,0.376,0.178,28.6,82.9,55.4,60.4,9.4,3.5,9.9,130.3,115.2,0f512b86-88f7-4e32-8dfe-2b57304b634c,Home,LAL,1,48,90,0.533,12,33,0.364,14,25,0.56,7,30,37,28,12,3,14,16,122,0.604,0.6,0.367,0.278,17.1,71.4,44.6,58.3,11.3,4.8,12.2,115.2,130.3
49,95,0.516,17,44,0.386,14,18,0.778,12,31,43,29,7,4,10,13,129,0.627,0.605,0.463,0.189,28.6,79.5,53.1,59.2,7.0,7.8,8.9,129.2,120.2,7c9ce8c0-c093-4823-9928-19ff52bfc636,Home,PHO,1,47,88,0.534,14,37,0.378,12,14,0.857,8,30,38,31,6,5,17,17,120,0.637,0.614,0.42,0.159,20.5,71.4,46.9,66.0,6.0,9.8,15.3,120.2,129.2
55,114,0.482,14,43,0.326,17,22,0.773,16,41,57,27,5,4,8,20,141,0.57,0.544,0.377,0.193,27.1,74.5,50.0,49.1,4.3,7.1,6.1,122.2,116.1,6da90302-8b4f-49e0-b1e7-d131626a2562,Home,GSW,1,50,112,0.446,18,56,0.321,16,20,0.8,14,43,57,26,4,7,14,23,134,0.555,0.527,0.5,0.179,25.5,72.9,50.0,52.0,3.5,9.9,10.4,116.1,122.2
51,95,0.537,20,39,0.513,22,27,0.815,13,26,39,35,5,4,11,22,144,0.674,0.642,0.411,0.284,31.7,76.5,52.0,68.6,5.0,7.4,9.3,142.6,147.6,fda2aef2-6054-40ce-bfef-3350cd6cb2df,Home,LAC,0,52,89,0.584,21,35,0.6,24,31,0.774,8,28,36,32,8,5,8,19,149,0.726,0.702,0.393,0.348,23.5,68.3,48.0,61.5,7.9,8.9,7.2,147.6,142.6
43,102,0.422,13,41,0.317,18,20,0.9,13,36,49,24,8,2,9,13,117,0.528,0.485,0.402,0.196,25.0,85.7,52.1,55.8,7.7,4.5,7.5,112.6,120.3,5b530a72-68d5-4c39-92ec-4db9bf82d397,Away,BOS,0,49,93,0.527,17,49,0.347,10,11,0.909,6,39,45,33,6,9,14,16,125,0.639,0.618,0.527,0.118,14.3,75.0,47.9,67.3,5.8,14.8,12.5,120.3,112.6
42,81,0.519,16,36,0.444,27,33,0.818,9,31,40,31,4,9,13,19,127,0.665,0.617,0.444,0.407,22.5,63.3,44.9,73.8,4.1,17.0,12.0,130.0,123.8,3f0fdf8c-8e0b-46ca-8a0f-26e2928dead8,Away,PHI,1,42,98,0.429,15,45,0.333,22,29,0.759,18,31,49,24,7,6,10,24,121,0.546,0.505,0.459,0.296,36.7,77.5,55.1,57.1,7.2,13.3,8.3,123.8,130.0
40,88,0.455,14,41,0.341,28,37,0.757,9,32,41,25,7,8,11,18,122,0.585,0.534,0.466,0.42,17.6,66.7,41.4,62.5,6.7,14.0,9.5,116.5,107.9,f4334dc9-e0d5-4f15-b851-26664aa68be3,Home,HOU,1,44,100,0.44,13,43,0.302,12,19,0.632,16,42,58,22,6,6,17,26,113,0.521,0.505,0.43,0.19,33.3,82.4,58.6,50.0,5.7,12.8,13.6,107.9,116.5
44,94,0.468,14,43,0.326,24,29,0.828,15,34,49,33,4,3,12,20,126,0.59,0.543,0.457,0.309,29.4,82.9,53.3,75.0,3.9,4.7,10.1,123.5,133.3,e0c80f93-da6d-44da-848a-48ccf233834c,Home,CHI,0,51,92,0.554,13,28,0.464,21,29,0.724,7,36,43,29,6,2,6,22,136,0.649,0.625,0.304,0.315,17.1,70.6,46.7,56.9,5.9,3.9,5.4,133.3,123.5
36,89,0.404,9,38,0.237,18,20,0.9,15,30,45,23,5,6,16,20,99,0.506,0.455,0.427,0.225,30.6,71.4,49.5,63.9,5.2,11.5,14.1,103.2,127.2,f6ac9bc0-8c72-4898-beff-09ddc435fde6,Away,CHO,0,44,89,0.494,15,37,0.405,19,20,0.95,12,34,46,27,7,4,13,18,122,0.624,0.579,0.416,0.225,28.6,69.4,50.5,61.4,7.3,7.8,11.7,127.2,103.2
46,106,0.434,12,39,0.308,17,24,0.708,20,34,54,27,5,4,9,11,121,0.519,0.491,0.368,0.226,35.7,75.6,53.5,58.7,4.9,6.3,7.2,117.9,119.8,88dcaa9c-de30-4960-8ae0-857b7d3335e3,Home,TOR,0,50,102,0.49,15,39,0.385,8,8,1.0,11,36,47,37,3,7,12,20,123,0.583,0.564,0.382,0.078,24.4,64.3,46.5,74.0,2.9,10.4,10.2,119.8,117.9
41,90,0.456,12,29,0.414,15,17,0.882,9,35,44,31,10,3,10,17,109,0.559,0.522,0.322,0.189,19.6,71.4,46.3,75.6,10.4,6.5,9.3,113.1,95.5,ff16de69-4325-47bf-a8bd-dd3a15bc5e43,Home,ORL,1,35,84,0.417,14,38,0.368,8,18,0.444,14,37,51,23,7,9,20,19,92,0.5,0.5,0.452,0.214,28.6,80.4,53.7,65.7,7.3,14.8,17.9,95.5,113.1
46,93,0.495,12,32,0.375,20,23,0.87,15,40,55,27,8,8,18,15,124,0.601,0.559,0.344,0.247,32.6,76.9,56.1,58.7,7.7,14.3,14.9,118.8,92.9,2e6813b4-c556-4378-b693-0a3b063ceba9,Home,UTA,1,35,94,0.372,11,38,0.289,16,19,0.842,12,31,43,24,11,4,18,15,97,0.474,0.431,0.404,0.202,23.1,67.4,43.9,68.6,10.5,6.6,15.0,92.9,118.8
