mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,Location,Opponent,opp_mp,opp_fg,opp_fga,opp_fg_pct,opp_fg3,opp_fg3a,opp_fg3_pct,opp_ft,opp_fta,opp_ft_pct,opp_orb,opp_drb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,opp_pts,opp_game_score,opp_plus_minus,opp_ts_pct,opp_efg_pct,opp_fg3a_per_fga_pct,opp_fta_per_fga_pct,opp_orb_pct,opp_drb_pct,opp_trb_pct,opp_ast_pct,opp_stl_pct,opp_blk_pct,opp_tov_pct,opp_usg_pct,opp_off_rtg,opp_def_rtg,opp_bpm,opp_Location,opp_Opponent
240,33,91,.363,7,35,.200,9,11,.818,8,28,36,15,3,4,13,14,82,,,.428,.401,.385,.121,16.7,84.8,44.4,45.5,3.0,7.0,11.9,100.0,83.2,136.9,,Home,PHI,240,53,88,.602,14,31,.452,15,17,.882,5,40,45,30,10,6,10,17,135,,,.707,.682,.352,.193,15.2,83.3,55.6,56.6,10.1,10.7,9.5,100.0,136.9,83.2,,Away,CHO
240,39,89,.438,8,32,.250,13,13,1.000,10,26,36,18,8,6,13,19,99,,,.523,.483,.360,.146,21.7,63.4,41.4,46.2,8.3,10.5,12.1,100.0,102.6,118.2,,Away,TOR,240,44,86,.512,8,29,.276,18,22,.818,15,36,51,30,4,4,19,16,114,,,.596,.558,.337,.256,36.6,78.3,58.6,68.2,4.1,7.0,16.6,100.0,118.2,102.6,,Home,CHO
240,45,95,.474,8,31,.258,15,19,.789,16,21,37,23,6,0,12,18,113,,,.547,.516,.326,.200,34.8,72.4,49.3,51.1,6.3,0.0,10.4,100.0,117.8,150.1,,Away,IND,240,49,80,.613,18,39,.462,28,30,.933,8,30,38,37,6,8,13,20,144,,,.773,.725,.488,.375,27.6,65.2,50.7,75.5,6.3,12.5,12.2,100.0,150.1,117.8,,Home,CHO
240,34,88,.386,8,28,.286,19,23,.826,13,34,47,23,8,11,18,15,95,,,.484,.432,.318,.261,26.5,73.9,49.5,67.6,8.1,18.3,15.5,100.0,95.8,102.9,,Home,DEN,240,39,90,.433,12,30,.400,12,14,.857,12,36,48,25,11,13,17,21,102,,,.530,.500,.333,.156,26.1,73.5,50.5,64.1,11.1,21.7,15.0,100.0,102.9,95.8,,Away,CHO
240,43,93,.462,6,29,.207,12,16,.750,8,34,42,31,8,6,11,23,104,,,.520,.495,.312,.172,19.0,75.6,48.3,72.1,8.1,11.8,9.9,100.0,105.9,115.0,,Away,LAC,240,40,85,.471,14,34,.412,19,25,.760,11,34,45,24,7,3,13,14,113,,,.589,.553,.400,.294,24.4,81.0,51.7,60.0,7.1,4.7,11.9,100.0,115.0,105.9,,Home,CHO
240,40,85,.471,15,33,.455,17,28,.607,8,35,43,29,5,5,19,14,112,,,.575,.559,.388,.329,17.8,87.5,50.6,72.5,4.7,7.5,16.3,100.0,104.6,124.2,,Away,LAL,240,52,97,.536,15,30,.500,14,14,1.000,5,37,42,41,11,7,11,21,133,,,.645,.613,.309,.144,12.5,82.2,49.4,78.8,10.3,13.5,9.6,100.0,124.2,104.6,,Home,CHO
240,44,92,.478,23,46,.500,8,8,1.000,8,18,26,32,5,3,6,17,119,,,.623,.603,.500,.087,19.5,75.0,40.0,72.7,5.5,6.8,5.9,100.0,130.6,145.9,,Away,PHO,240,46,74,.622,18,30,.600,23,24,.958,6,33,39,34,3,11,15,14,133,,,.786,.743,.405,.324,25.0,80.5,60.0,73.9,3.3,23.9,15.1,100.0,145.9,130.6,,Home,CHO
240,36,86,.419,10,26,.385,11,16,.688,8,37,45,24,4,5,14,15,93,,,.500,.477,.302,.186,16.7,90.2,50.6,66.7,4.1,11.1,13.1,100.0,95.7,114.3,,Away,DEN,240,41,83,.494,15,38,.395,14,18,.778,4,40,44,27,9,9,11,15,111,,,.610,.584,.458,.217,9.8,83.3,49.4,65.9,9.3,15.0,10.8,100.0,114.3,95.7,,Home,CHO
240,42,82,.512,12,34,.353,15,19,.789,4,31,35,23,8,10,15,15,111,,,.614,.585,.415,.232,10.8,67.4,42.2,54.8,7.9,17.9,14.2,100.0,110.1,103.2,,Away,SAC,240,40,92,.435,14,36,.389,10,17,.588,15,33,48,23,8,2,21,23,104,,,.523,.511,.391,.185,32.6,89.2,57.8,57.5,7.9,4.2,17.4,100.0,103.2,110.1,,Home,CHO
240,36,89,.404,10,34,.294,9,12,.750,12,30,42,20,7,1,13,20,91,,,.483,.461,.382,.135,24.5,88.2,50.6,55.6,7.6,2.2,12.1,100.0,98.7,112.8,,Away,CHI,240,40,74,.541,10,28,.357,14,17,.824,4,37,41,29,7,6,15,17,104,,,.638,.608,.378,.230,11.8,75.5,49.4,72.5,7.6,10.9,15.5,100.0,112.8,98.7,,Home,CHO
