mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,bpm,Location,Opponent,opp_mp,opp_fg,opp_fga,opp_fg_pct,opp_fg3,opp_fg3a,opp_fg3_pct,opp_ft,opp_fta,opp_ft_pct,opp_orb,opp_drb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,opp_pts,opp_game_score,opp_plus_minus,opp_ts_pct,opp_efg_pct,opp_fg3a_per_fga_pct,opp_fta_per_fga_pct,opp_orb_pct,opp_drb_pct,opp_trb_pct,opp_ast_pct,opp_stl_pct,opp_blk_pct,opp_tov_pct,opp_usg_pct,opp_off_rtg,opp_def_rtg,opp_bpm,opp_Location,opp_Opponent
240,47,90,.522,11,28,.393,17,21,.810,10,23,33,30,4,3,12,17,122,,,.615,.583,.311,.233,25.6,71.9,46.5,63.8,4.1,5.7,10.8,100.0,126.5,144.1,,Home,NYK,240,49,82,.598,17,29,.586,24,28,.857,9,29,38,28,9,5,11,20,139,,,.737,.701,.354,.341,28.1,74.4,53.5,57.1,9.3,8.1,10.4,100.0,144.1,126.5,,Away,PHO
240,41,90,.456,7,31,.226,23,30,.767,13,41,54,29,8,6,17,16,112,,,.543,.494,.344,.333,27.7,80.4,55.1,70.7,7.8,12.2,14.1,100.0,108.9,105.0,,Home,WAS,240,39,95,.411,14,46,.304,16,20,.800,10,34,44,24,8,6,10,25,108,,,.520,.484,.484,.211,19.6,72.3,44.9,61.5,7.8,10.2,8.8,100.0,105.0,108.9,,Away,PHO
240,42,94,.447,5,23,.217,15,21,.714,14,33,47,23,10,6,15,15,104,,,.504,.473,.245,.223,30.4,76.7,52.8,54.8,10.0,10.2,12.7,100.0,103.9,108.9,,Away,POR,240,39,87,.448,14,28,.500,17,19,.895,10,32,42,23,8,4,17,18,109,,,.572,.529,.322,.218,23.3,69.6,47.2,59.0,8.0,5.6,15.1,100.0,108.9,103.9,,Home,PHO
240,39,88,.443,5,25,.200,22,28,.786,15,30,45,19,8,4,15,19,105,,,.523,.472,.284,.318,33.3,81.1,54.9,48.7,8.2,8.9,13.0,100.0,107.0,122.3,,Away,SAC,240,44,83,.530,12,38,.316,20,26,.769,7,30,37,32,7,7,14,24,120,,,.635,.602,.458,.313,18.9,66.7,45.1,72.7,7.1,11.1,12.9,100.0,122.3,107.0,,Home,PHO
240,40,90,.444,14,41,.341,20,25,.800,14,33,47,28,5,2,16,21,114,,,.564,.522,.456,.278,31.8,80.5,55.3,70.0,5.1,5.0,13.7,100.0,115.2,129.4,,Home,DAL,240,45,84,.536,16,44,.364,22,30,.733,8,30,38,28,7,6,11,20,128,,,.658,.631,.524,.357,19.5,68.2,44.7,62.2,7.1,12.2,10.2,100.0,129.4,115.2,,Away,PHO
240,47,82,.573,14,33,.424,21,26,.808,8,36,44,28,4,11,19,17,129,,,.690,.659,.402,.317,25.0,80.0,57.1,59.6,3.9,20.0,16.9,100.0,125.9,110.3,,Away,HOU,240,40,96,.417,17,41,.415,16,22,.727,9,24,33,20,11,3,10,21,113,,,.535,.505,.427,.229,20.0,75.0,42.9,50.0,10.7,6.1,8.6,100.0,110.3,125.9,,Home,PHO
240,46,74,.622,18,30,.600,23,24,.958,6,33,39,34,3,11,15,14,133,,,.786,.743,.405,.324,25.0,80.5,60.0,73.9,3.3,23.9,15.1,100.0,145.9,130.6,,Home,CHO,240,44,92,.478,23,46,.500,8,8,1.000,8,18,26,32,5,3,6,17,119,,,.623,.603,.500,.087,19.5,75.0,40.0,72.7,5.5,6.8,5.9,100.0,130.6,145.9,,Away,PHO
240,44,88,.500,8,27,.296,16,19,.842,6,29,35,21,11,4,6,17,112,,,.581,.545,.307,.216,14.0,78.4,43.8,47.7,11.4,7.5,5.9,100.0,115.6,110.5,,Home,ORL,240,42,90,.467,12,37,.324,11,12,.917,8,37,45,22,2,4,15,18,107,,,.562,.533,.411,.133,21.6,86.0,56.3,52.4,2.1,6.6,13.6,100.0,110.5,115.6,,Away,PHO
240,38,80,.475,11,29,.379,22,33,.667,9,38,47,24,10,5,16,20,109,,,.577,.544,.363,.413,23.1,86.4,56.6,63.2,10.1,10.0,14.5,100.0,109.8,88.6,,Home,POR,240,33,80,.413,8,30,.267,14,19,.737,6,30,36,21,6,10,19,19,88,,,.498,.463,.375,.238,13.6,76.9,43.4,63.6,6.0,19.6,17.7,100.0,88.6,109.8,,Away,PHO
240,42,79,.532,15,35,.429,23,26,.885,10,22,32,23,9,2,17,23,122,,,.674,.627,.443,.329,27.8,68.8,47.1,54.8,9.6,4.8,15.8,100.0,130.6,140.2,,Home,LAC,240,42,76,.553,18,34,.529,29,32,.906,10,26,36,25,9,5,14,18,131,,,.727,.671,.447,.421,31.3,72.2,52.9,59.5,9.6,11.4,13.5,100.0,140.2,130.6,,Away,PHO
