fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,off_rtg,def_rtg,game_id,Location,Opponent,Win,opp_fg,opp_fga,opp_fg_pct,opp_fg3,opp_fg3a,opp_fg3_pct,opp_ft,opp_fta,opp_ft_pct,opp_orb,opp_drb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,opp_pts,opp_ts_pct,opp_efg_pct,opp_fg3a_per_fga_pct,opp_fta_per_fga_pct,opp_orb_pct,opp_drb_pct,opp_trb_pct,opp_ast_pct,opp_stl_pct,opp_blk_pct,opp_tov_pct,opp_off_rtg,opp_def_rtg,team
43,103,0.417,16,45,0.356,12,18,0.667,21,28,49,30,9,4,11,12,114,0.514,0.495,0.437,0.175,39.6,68.3,52.1,69.8,9.5,6.8,9.0,120.1,128.6,ae1a85cd-bf55-4e31-9a4a-3d823bdac8ea,Home,UTA,0,49,92,0.533,11,33,0.333,13,14,0.929,13,32,45,27,9,9,11,14,122,0.621,0.592,0.359,0.152,31.7,60.4,47.9,55.1,9.5,15.5,10.1,128.6,120.1,POR
47,94,0.5,7,32,0.219,19,22,0.864,10,34,44,17,8,2,11,21,120,0.579,0.537,0.34,0.234,21.7,75.6,48.4,36.2,7.7,4.0,9.6,115.1,125.7,344c17fe-b392-4fdd-916c-9f00eff17548,Home,DAL,0,48,97,0.495,16,47,0.34,19,21,0.905,11,36,47,27,7,2,13,17,131,0.617,0.577,0.485,0.216,24.4,78.3,51.6,56.3,6.7,3.2,10.9,125.7,115.1,POR
40,85,0.471,13,35,0.371,21,23,0.913,9,28,37,23,10,4,14,20,114,0.599,0.547,0.412,0.271,22.0,71.8,46.3,57.5,10.3,8.2,12.8,117.6,121.7,93de8368-3403-4119-8d77-475585d4a18b,Home,GSW,0,46,87,0.529,13,38,0.342,13,19,0.684,11,32,43,31,10,4,14,20,118,0.619,0.603,0.437,0.218,28.2,78.0,53.8,67.4,10.3,8.0,12.8,121.7,117.6,POR
39,87,0.448,14,28,0.5,17,19,0.895,10,32,42,23,8,4,17,18,109,0.572,0.529,0.322,0.218,23.3,69.6,47.2,59.0,8.0,5.6,15.1,108.9,103.9,d0f2e284-b058-4995-b41c-f6beb6f768f5,Home,PHO,1,42,94,0.447,5,23,0.217,15,21,0.714,14,33,47,23,10,6,15,15,104,0.504,0.473,0.245,0.223,30.4,76.7,52.8,54.8,10.0,10.2,12.7,103.9,108.9,POR
43,95,0.453,14,30,0.467,17,23,0.739,20,31,51,24,7,6,16,27,117,0.557,0.526,0.316,0.242,40.0,81.6,58.0,55.8,7.1,11.1,13.2,117.9,118.9,72d4ff5e-3523-471b-9a1c-83deae0aa232,Home,WAS,0,42,84,0.5,12,30,0.4,22,32,0.688,7,30,37,26,9,6,12,17,118,0.602,0.571,0.357,0.381,18.4,60.0,42.0,61.9,9.1,9.2,10.9,118.9,117.9,POR
38,84,0.452,13,35,0.371,17,25,0.68,8,22,30,26,13,3,12,20,106,0.558,0.53,0.417,0.298,18.2,62.9,38.0,68.4,13.4,6.0,11.2,109.4,130.1,e82d5b8f-91a6-4049-b0e8-36c5b90c1c9e,Away,GSW,0,48,83,0.578,10,33,0.303,20,24,0.833,13,36,49,38,8,2,18,14,126,0.673,0.639,0.398,0.289,37.1,81.8,62.0,79.2,8.3,4.1,16.1,130.1,109.4,POR
49,98,0.5,16,40,0.4,16,20,0.8,16,30,46,28,5,5,10,17,130,0.609,0.582,0.408,0.204,35.6,73.2,53.5,57.1,5.1,9.8,8.6,133.3,115.9,294260b0-7556-441a-9812-b70e20b026ac,Home,SAC,1,45,93,0.484,10,42,0.238,13,16,0.813,11,29,40,25,5,7,12,16,113,0.565,0.538,0.452,0.172,26.8,64.4,46.5,55.6,5.1,12.1,10.7,115.9,133.3,POR
35,101,0.347,11,36,0.306,24,32,0.75,22,35,57,16,6,4,13,22,105,0.456,0.401,0.356,0.317,38.6,83.3,57.6,45.7,6.0,8.2,10.1,105.6,118.7,4d439876-7d00-4b8c-b6ee-d4c0d205c0bc,Home,SAS,0,41,85,0.482,10,36,0.278,26,28,0.929,7,35,42,33,9,10,11,20,118,0.606,0.541,0.424,0.329,16.7,61.4,42.4,80.5,9.0,15.4,10.2,118.7,105.6,POR
48,95,0.505,16,27,0.593,22,27,0.815,16,27,43,28,8,6,14,19,134,0.627,0.589,0.284,0.284,35.6,67.5,50.6,58.3,7.8,9.8,11.6,131.4,125.5,15ec57fe-b3a2-45ee-962d-ef398da9ba83,Home,SAS,1,48,94,0.511,14,33,0.424,18,25,0.72,13,29,42,31,9,3,14,19,128,0.61,0.585,0.351,0.266,32.5,64.4,49.4,64.6,8.8,4.4,11.8,125.5,131.4,POR
33,80,0.413,8,30,0.267,14,19,0.737,6,30,36,21,6,10,19,19,88,0.498,0.463,0.375,0.238,13.6,76.9,43.4,63.6,6.0,19.6,17.7,88.6,109.8,89275a52-69b4-4fe3-8a1d-a14194a04b65,Away,PHO,0,38,80,0.475,11,29,0.379,22,33,0.667,9,38,47,24,10,5,16,20,109,0.577,0.544,0.363,0.413,23.1,86.4,56.6,63.2,10.1,10.0,14.5,109.8,88.6,POR
34,87,0.391,13,40,0.325,16,22,0.727,10,36,46,23,4,3,22,34,97,0.502,0.466,0.46,0.253,21.7,83.7,51.7,67.6,3.8,5.6,18.5,92.1,119.7,38bc59b8-c4ab-439a-99ce-ce848b2ac355,Away,DAL,0,42,84,0.5,13,30,0.433,29,41,0.707,7,36,43,25,12,7,12,18,126,0.617,0.577,0.357,0.488,16.3,78.3,48.3,59.5,11.4,14.9,10.5,119.7,92.1,POR
39,95,0.411,13,40,0.325,12,17,0.706,10,32,42,27,9,3,19,15,103,0.503,0.479,0.421,0.179,19.2,76.2,44.7,69.2,8.3,5.2,15.6,94.5,127.5,a20040de-ca39-4a80-b45a-26c7ea379714,Away,DAL,0,56,96,0.583,17,38,0.447,10,15,0.667,10,42,52,35,11,8,17,21,139,0.677,0.672,0.396,0.156,23.8,80.8,55.3,62.5,10.1,14.5,14.2,127.5,94.5,POR
45,95,0.474,20,38,0.526,24,30,0.8,9,29,38,21,5,5,10,20,134,0.619,0.579,0.4,0.316,20.5,76.3,46.3,46.7,4.7,9.3,8.5,126.6,120.0,6fc766b4-c671-4619-a08d-6dee5417f704,Away,BRK,1,46,91,0.505,14,37,0.378,21,25,0.84,9,35,44,29,7,7,16,25,127,0.623,0.582,0.407,0.275,23.7,79.5,53.7,63.0,6.6,12.3,13.6,120.0,126.6,POR
33,86,0.384,6,29,0.207,12,18,0.667,12,31,43,19,8,7,15,17,84,0.447,0.419,0.337,0.209,23.1,67.4,43.9,57.6,8.4,17.1,13.8,88.3,117.8,f37370ac-f6c8-4be5-9bc1-292e4651c807,Away,NYK,0,37,89,0.416,18,48,0.375,20,23,0.87,15,40,55,26,11,4,15,16,112,0.565,0.517,0.539,0.258,32.6,76.9,56.1,70.3,11.6,7.0,13.1,117.8,88.3,POR
28,101,0.277,11,49,0.224,10,16,0.625,13,29,42,16,8,8,10,19,77,0.356,0.332,0.485,0.158,20.3,78.4,41.6,57.1,7.7,13.8,8.5,74.4,134.2,a9d67996-f86c-497a-a4a5-20320cf0cd6a,Away,OKC,0,53,93,0.57,14,35,0.4,19,22,0.864,8,51,59,41,6,8,13,10,139,0.677,0.645,0.376,0.237,21.6,79.7,58.4,77.4,5.8,15.4,11.2,134.2,74.4,POR
30,77,0.39,10,28,0.357,23,34,0.676,10,28,38,18,8,5,20,19,93,0.506,0.455,0.364,0.442,21.3,77.8,45.8,60.0,8.1,10.2,17.9,94.4,117.8,5d88020f-1673-498a-9f4c-6a342939c6f3,Away,MIN,0,44,80,0.55,11,31,0.355,17,24,0.708,8,37,45,35,14,5,16,23,116,0.64,0.619,0.388,0.3,22.2,78.7,54.2,79.5,14.2,10.2,15.0,117.8,94.4,POR
40,89,0.449,20,42,0.476,16,22,0.727,12,24,36,23,8,1,14,21,116,0.588,0.562,0.472,0.247,26.1,77.4,46.8,57.5,8.3,2.1,12.4,121.0,132.5,d0678451-ea31-45ed-a263-79d14b4cd259,Home,PHO,0,46,76,0.605,13,28,0.464,22,27,0.815,7,34,41,27,7,5,14,20,127,0.723,0.691,0.368,0.355,22.6,73.9,53.2,58.7,7.3,10.6,13.7,132.5,121.0,POR
42,86,0.488,9,27,0.333,12,14,0.857,10,31,41,21,2,2,13,16,105,0.57,0.541,0.314,0.163,27.0,83.8,55.4,50.0,2.2,5.7,12.4,116.6,114.4,e1728b37-1260-4a06-95a5-95740a3421ef,Home,BRK,1,35,73,0.479,15,38,0.395,18,27,0.667,6,27,33,28,9,3,11,14,103,0.607,0.582,0.521,0.37,16.2,73.0,44.6,80.0,10.0,5.1,11.5,114.4,116.6,POR
42,84,0.5,4,12,0.333,30,35,0.857,9,38,47,18,3,11,11,21,118,0.594,0.524,0.143,0.417,22.5,86.4,56.0,42.9,2.9,25.0,10.0,114.4,111.5,b7717097-01ab-4059-92f6-c4a282059768,Home,IND,1,39,91,0.429,20,47,0.426,17,25,0.68,6,31,37,34,3,6,14,26,115,0.564,0.538,0.516,0.275,13.6,77.5,44.0,87.2,2.9,8.3,12.1,111.5,114.4,POR
42,90,0.467,9,29,0.31,17,20,0.85,10,25,35,24,7,5,14,21,110,0.557,0.517,0.322,0.222,22.2,71.4,43.8,57.1,7.0,9.4,12.4,109.9,133.8,55402400-ecf3-4470-a26c-0194fb1528b8,Away,LAL,0,47,86,0.547,13,33,0.394,27,29,0.931,10,35,45,28,9,6,14,18,134,0.678,0.622,0.384,0.337,28.6,77.8,56.3,59.6,9.0,9.8,12.4,133.8,109.9,POR
