fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,off_rtg,def_rtg,game_id,Location,Win,opp_fg,opp_fga,opp_fg_pct,opp_fg3,opp_fg3a,opp_fg3_pct,opp_ft,opp_fta,opp_ft_pct,opp_orb,opp_drb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,opp_pts,opp_ts_pct,opp_efg_pct,opp_fg3a_per_fga_pct,opp_fta_per_fga_pct,opp_orb_pct,opp_drb_pct,opp_trb_pct,opp_ast_pct,opp_stl_pct,opp_blk_pct,opp_tov_pct,opp_off_rtg,opp_def_rtg
51,91,0.56,16,33,0.485,16,22,0.727,11,38,49,26,6,9,10,18,134,0.665,0.648,0.363,0.242,25.6,74.5,52.1,51.0,6.0,17.6,9.0,134.5,112.4,5434e4d2-6eb0-4cbd-9e4e-2747f10a65ca,Home,1,39,94,0.415,14,43,0.326,20,26,0.769,13,32,45,30,7,2,11,16,112,0.531,0.489,0.457,0.277,25.5,74.4,47.9,76.9,7.0,3.4,9.4,112.4,134.5
48,86,0.558,19,37,0.514,18,23,0.783,6,27,33,30,7,3,13,19,133,0.692,0.669,0.43,0.267,18.8,77.1,49.3,62.5,7.0,7.0,11.9,133.9,134.9,99c1789a-2f9d-4e2a-bc79-7810048bc16b,Home,0,48,91,0.527,22,48,0.458,16,19,0.842,8,26,34,33,8,5,10,21,134,0.674,0.648,0.527,0.209,22.9,81.3,50.7,68.8,8.1,10.2,9.1,134.9,133.9
55,119,0.462,23,58,0.397,11,16,0.688,11,39,50,37,11,3,17,34,144,0.571,0.559,0.487,0.134,18.6,84.8,47.6,67.3,8.5,4.1,11.9,111.0,111.8,a09f5104-a29c-42d5-b63b-85f3bce8ae34,Home,0,49,101,0.485,9,27,0.333,38,43,0.884,7,48,55,33,9,5,20,21,145,0.605,0.53,0.267,0.426,15.2,81.4,52.4,67.3,6.9,8.2,14.3,111.8,111.0
44,79,0.557,14,32,0.438,17,19,0.895,8,34,42,32,6,6,18,20,119,0.681,0.646,0.405,0.241,23.5,72.3,51.9,72.7,6.3,10.9,17.1,124.2,111.7,a463ce9e-b87b-4d86-8dbb-b150c62287d1,Home,1,39,85,0.459,13,30,0.433,16,21,0.762,13,26,39,11,14,2,16,24,107,0.568,0.535,0.353,0.247,27.7,76.5,48.1,28.2,14.6,4.3,14.5,111.7,124.2
46,83,0.554,11,29,0.379,18,22,0.818,6,40,46,32,7,8,14,17,121,0.653,0.62,0.349,0.265,17.6,81.6,55.4,69.6,7.0,19.5,13.1,121.5,101.4,6f69ff9d-ed9e-4433-8499-1fdd4365902a,Away,1,35,87,0.402,14,46,0.304,17,24,0.708,9,28,37,30,7,4,14,20,101,0.518,0.483,0.529,0.276,18.4,82.4,44.6,85.7,7.0,7.4,12.5,101.4,121.5
50,112,0.446,18,56,0.321,16,20,0.8,14,43,57,26,4,7,14,23,134,0.555,0.527,0.5,0.179,25.5,72.9,50.0,52.0,3.5,9.9,10.4,116.1,122.2,6da90302-8b4f-49e0-b1e7-d131626a2562,Away,0,55,114,0.482,14,43,0.326,17,22,0.773,16,41,57,27,5,4,8,20,141,0.57,0.544,0.377,0.193,27.1,74.5,50.0,49.1,4.3,7.1,6.1,122.2,116.1
43,93,0.462,4,22,0.182,19,23,0.826,16,44,60,24,7,8,14,17,109,0.529,0.484,0.237,0.247,37.2,80.0,61.2,55.8,7.3,17.0,12.0,113.4,101.9,b4f0e7c1-c603-4bd6-8a2d-d1416c13a7ee,Away,1,34,89,0.382,13,42,0.31,17,22,0.773,11,27,38,23,7,12,10,23,98,0.497,0.455,0.472,0.247,20.0,62.8,38.8,67.6,7.3,16.9,9.2,101.9,113.4
47,94,0.5,16,38,0.421,17,22,0.773,12,40,52,30,7,8,13,21,127,0.612,0.585,0.404,0.234,29.3,78.4,56.5,63.8,6.8,12.1,11.1,123.0,100.7,4f71b1b3-f008-4073-8fdd-9083b568d1d9,Away,1,41,98,0.418,8,32,0.25,14,14,1.0,11,29,40,21,7,8,15,16,104,0.499,0.459,0.327,0.143,21.6,70.7,43.5,51.2,6.8,14.3,12.6,100.7,123.0
52,93,0.559,17,32,0.531,10,13,0.769,10,39,49,33,7,7,17,22,131,0.663,0.651,0.344,0.14,30.3,84.8,62.0,63.5,7.0,14.0,14.7,130.4,108.5,43a0a5a4-8ac9-4406-9368-ed67d103928b,Away,1,39,81,0.481,12,31,0.387,19,27,0.704,7,23,30,31,11,6,14,17,109,0.587,0.556,0.383,0.333,15.2,69.7,38.0,79.5,11.0,9.8,13.1,108.5,130.4
45,101,0.446,17,41,0.415,6,11,0.545,13,39,52,33,6,2,14,20,113,0.534,0.53,0.406,0.109,28.3,81.3,55.3,73.3,5.8,3.3,11.7,109.4,108.4,ae22d9bf-a0a5-4f80-b264-3752c6c17b2c,Home,1,43,94,0.457,11,34,0.324,15,16,0.938,9,33,42,28,9,8,14,13,112,0.554,0.516,0.362,0.17,18.8,71.7,44.7,65.1,8.7,13.3,12.2,108.4,109.4
