player,team,game_id,location,opponent,team_score,opponent_score,win,played,mp,PCA1_1,PCA2_1,PCA2_2,PCA2_3,PCA3_1,PCA3_2,PCA3_3,PCA4_1,PCA4_2,PCA5_1,PCA6_1,PCA6_2,PCA6_3
Jalen Smith,IND,72c72542-088a-423d-8f48-7cc1a571043c,Away,LAC,133,116,1,1,13.783333333333331,-0.721436357127381,-1.2735486868532206,-0.1396748339679281,-0.48948460493486423,3.5848768968152513,1.9184789652394847,1.4228211290510682,0.42134506325701343,-1.505766452383436,1.9066881783647818,1.5241505535081068,0.8073446248334714,0.864125796578472
Doug McDermott,IND,72c72542-088a-423d-8f48-7cc1a571043c,Away,LAC,133,116,1,1,11.266666666666667,-1.6018258654996227,-1.4357572399284009,-0.05709987901199858,0.09493254912611251,-1.0136784247438932,-0.41544458623209896,-0.4882463725203687,-2.1406947337205238,2.4808786397953817,-1.27446877428308,-1.5265652157432053,-0.47148592526603833,0.3888567912623292
Isaiah Jackson,IND,72c72542-088a-423d-8f48-7cc1a571043c,Away,LAC,133,116,1,1,1.8666666666666667,-1.7162289986759922,-0.42642652307809703,-1.1374999166002042,1.9420645385742437,2.087653713617151,-1.7797922604776488,-2.186966616283415,1.4313520768983776,-2.1003874076346083,0.05947216266460551,-1.3633130222182515,4.192554656905653,1.5113770179369246
Kendall Brown,IND,72c72542-088a-423d-8f48-7cc1a571043c,Away,LAC,133,116,1,1,1.8666666666666667,-2.027713267328599,-1.892590043055085,0.07271597761324862,-0.120822762314013,-1.8949724787452786,-0.10405751450484212,0.012134232192584098,-2.8526790815100096,-0.24677217897477008,-1.27446877428308,-0.5287604140365324,-1.3117133301682813,0.12221343613386394
James Johnson,IND,72c72542-088a-423d-8f48-7cc1a571043c,Away,LAC,133,116,1,0,0.0,-2.027713267328599,-1.892590043055085,0.07271597761324862,-0.120822762314013,-2.564173457772794,0.15358029358499112,0.4080889266143903,-2.8526790815100096,-0.24677217897477008,-1.27446877428308,-0.08568411354823777,-1.35942164791497,-0.05291580585004376
Andrew Nembhard,IND,9740d71a-75c4-4441-b588-7029b6a6297c,Away,CHI,99,125,0,1,33.81666666666667,2.288229783517807,1.1395526304047077,1.3284334813956526,0.2862121353934176,0.41805304524741765,-0.7189091706769438,-0.45560358884416036,1.9464941696691755,0.23714912847964667,0.1445004793616957,-0.6634580480466709,0.3244089177376516,-1.334691348915984
Tyrese Haliburton,IND,9740d71a-75c4-4441-b588-7029b6a6297c,Away,CHI,99,125,0,1,31.066666666666663,2.683150427782041,1.0451164570967089,-1.3295050958837302,-0.8192192454045539,0.21227805463024316,-0.682202710450785,0.6699940462692692,0.12316520533456883,1.3351831798263576,0.8286247358702176,-0.6731855233792876,1.0454158129901652,-0.17047244993592872
Pascal Siakam,IND,9740d71a-75c4-4441-b588-7029b6a6297c,Away,CHI,99,125,0,1,30.266666666666666,-0.09777152611854283,0.8150942869236578,-1.0780162043591552,-0.9970458325214377,2.0628194733578566,-1.1906390347550408,-0.43838066177831797,1.1994530221493889,0.5061785455339232,5.958314914215997,-0.07756678860074467,0.31890347079029885,-0.5662635888579173
Aaron Nesmith,IND,9740d71a-75c4-4441-b588-7029b6a6297c,Away,CHI,99,125,0,1,27.48333333333333,1.1911641921874034,0.49270397906827296,-0.9498086950803696,-0.22684700451764916,0.5120544903419925,-0.7793330232449888,-1.4592913362606224,-0.4930758967834143,1.7299247746569806,-1.27446877428308,-1.0185430739373977,0.4750928347570935,0.11500920952503774
Myles Turner,IND,9740d71a-75c4-4441-b588-7029b6a6297c,Away,CHI,99,125,0,1,24.7,1.1380105386509218,-1.3687407535122675,-0.34160553366869,0.4602178130811168,0.6815043952748708,0.5722677624608284,-0.21801766673513706,0.8063412938771952,0.5863236030150789,0.997630957551182,0.057842238889032824,0.5397826348513366,0.13249095294994706
T.J. McConnell,IND,9740d71a-75c4-4441-b588-7029b6a6297c,Away,CHI,99,125,0,1,17.933333333333334,0.06276463635719502,0.8425018206467387,-1.180720598703386,-1.876606722174125,-1.289647400232752,-0.2927505192019013,-0.3578844352843973,0.5712480369402855,-1.2570189399868947,1.0224138879722333,-0.9351059969992266,1.1310304671053244,-1.3880841549551464
Jalen Smith,IND,9740d71a-75c4-4441-b588-7029b6a6297c,Away,CHI,99,125,0,1,12.183333333333334,-0.42620582028972354,-0.2733158840801301,-0.7873472951810493,1.2415426469772093,1.3928326189457947,-1.210994033280772,1.1230812342318972,0.6530538449381834,0.8114238423398489,-1.27446877428308,-1.9069773984202782,0.7896372556765404,-0.7266462210883029
Ben Sheppard,IND,9740d71a-75c4-4441-b588-7029b6a6297c,Away,CHI,99,125,0,1,11.2,-1.6018258654996227,-1.664173641491743,0.007808049300625016,-0.012945106593950245,-1.8749963301175916,-0.1117481953433446,0.00031468907551525263,-2.1406947337205238,2.4808786397953817,-1.27446877428308,-1.8113893842832935,-0.46962713788494065,-0.0035240534574593712
Obi Toppin,IND,9740d71a-75c4-4441-b588-7029b6a6297c,Away,CHI,99,125,0,1,11.1,-1.3530334852882606,1.4349739374822437,0.5340010357658393,0.2508380822412209,-0.5909034093878962,1.559735999867181,-0.3887721516217558,2.557794630268557,-2.4301702857617404,0.8774205492471441,-0.2337044283656158,-0.11652410448685337,-1.8068481018427671
Jarace Walker,IND,9740d71a-75c4-4441-b588-7029b6a6297c,Away,CHI,99,125,0,1,10.766666666666667,-1.7425394430681032,0.8708292432129011,-1.880991726534636,1.1927388359782056,-1.0721048757551723,-0.3883121207213071,-0.4898065441207553,-2.30841624518271,1.0615042828231558,-1.27446877428308,-1.4965069878884858,0.26667278661816346,0.1636462320452594
Doug McDermott,IND,9740d71a-75c4-4441-b588-7029b6a6297c,Away,CHI,99,125,0,1,10.416666666666666,-0.8099202122883375,-1.1071192866424555,-0.20840101789771276,-0.7259278676289452,-1.8749963301175916,-0.1117481953433446,0.00031468907551525263,0.9731330897910699,1.9318842482510492,-1.27446877428308,-0.8544406416697673,-0.13500677339141784,-0.51564992321306
Isaiah Jackson,IND,9740d71a-75c4-4441-b588-7029b6a6297c,Away,CHI,99,125,0,1,8.166666666666666,-1.0932604613707793,-0.548389424028045,-0.8436414868176668,1.3756015465529254,5.739120820170489,2.2405754307337893,2.390341400564459,2.5297216403410228,-2.4220816664750684,-1.27446877428308,0.512735794446234,0.5133661093592199,-1.1335130371511914
