Player,PCA1_1,PCA2_1,PCA3_1,PCA3_2,PCA4_1,PCA5_1,PCA5_2
Colin Castleton,-1.7333666718772203,-2.6464395651047568,-1.9587083879438871,-0.1439932844393135,-1.8041122803569645,0.9833314095153667,-1.1333414261343917
Collin Gillespie,-1.1636260456548921,-1.7530584906096918,-0.6657513811104571,-0.20087960797256274,-1.9462492760653556,0.9532753720976969,0.38534112631935585
Collin Sexton,1.6997379074021417,5.362596430332533,2.598159895616196,-0.06836636784067185,-0.2745239010116742,0.8864557804084083,0.5068422474236748
Corey Kispert,2.213084692283737,1.413018585398446,-0.17749538341810672,0.09557569244931735,-0.40606338539724973,1.5641733609101562,0.43137170068242764
Cory Joseph,0.4797018681457054,0.06294050759872241,1.278798624785619,-0.11364586313451025,-0.6636528336614298,0.5648855808169746,0.659466784517602
Craig Porter Jr.,-0.10322649196075737,-0.7734968506010665,-0.332303257562712,-0.9026954628457067,-0.6986529868038933,0.9492132103367562,0.26849846394715565
Craig Sword,-1.8888139565628321,-2.6046186223491876,0.750823291891748,1.6073899505983726,-2.421524421703485,2.42305732206264,-4.812687265420109
Cristiano Felício,-1.6185321074391017,-2.647718155374988,-1.7883575525560345,-0.3463182594321065,-1.3513761847950296,0.42508323612958754,-2.19376302300939
D'Angelo Russell,2.4770307450581117,4.921239551059535,3.450717628786817,-1.4389688595896084,-0.03273312049771133,0.916581663810769,0.7733283729322918
D'Moi Hodge,-1.8150069949381535,-2.3629012009691697,-1.9307369090557809,-0.3906475358954955,-2.29700669405999,-0.2787509686591841,-0.6143369910934507
D.J. Augustin,-0.129646341714403,-0.23267554559680043,-0.07627389821297036,-0.9740073057990173,-1.4506659494397451,0.6689711907084891,1.3061560232060294
D.J. Carton,-1.6885230210298443,-1.8483374681027898,-1.365025030646384,-0.24907408997057828,-1.6497592450203344,-0.18808815174195198,0.317274179824968
D.J. Wilson,-1.2425052256874074,-0.897399022233838,-0.8837591705392284,0.07674921869615334,0.01405107454929047,1.143810784675981,0.03593342170986294
DaQuan Jeffries,-1.1969872049125692,-2.0678159490535095,-1.2931254167409816,0.06442269761960641,-1.0705740272381583,0.23002885221198288,-0.8577917698688795
Daishen Nix,-0.8536601466952515,-1.8194716115587706,-0.5411514116984897,-0.7873718688264925,-1.6633472096744997,-0.4622742706056951,0.1697506490723886
Dakota Mathias,-1.5816800429873734,-1.660347164485799,-1.8646566138641318,-0.4946325049364435,-1.8138100985087235,-1.4482364497413713,-0.21289621993995853
Dalano Banton,-0.2572679893948732,0.31515318728747205,0.00988074167646173,-0.443717533795785,-0.25878809788083534,-0.15916741562231443,0.1695801319308968
Dalen Terry,-0.5788924367695862,-2.0396830618602872,-1.0084733942999984,-0.1051404385455996,-1.1891237697586814,0.31833540015517964,-0.4757113223455746
Damian Jones,-0.7157755280733684,-1.4018945431635053,-0.7034900608320481,0.7197774927164372,0.45253310134828595,2.3966533607617553,-0.9208853092964848
Damian Lillard,3.0095890029251846,9.717008076514176,3.799040857858847,-2.181177058964565,0.6448108496469038,0.8247120483254424,0.903740555977405
