Player,Year,Team,Stat,Value-Stat
Buck Williams,1993,POR,PTS,8.3
Duane Causwell,1993,SAC,PTS,8.2
Tom Tolbert,1993,ORL,PTS,8.1
Scott Skiles,1993,ORL,AST,9.4
Micheal Williams,1993,MIN,AST,8.7
Isiah Thomas,1993,DET,AST,8.5
Mookie Blaylock,1993,ATL,AST,8.4
Mark Price,1993,CLE,AST,8.0
Pooh Richardson,1993,IND,AST,7.7
Michael Adams,1993,WSB,AST,7.5
Sedale Threatt,1993,LAL,AST,6.9
Scottie Pippen,1993,CHI,AST,6.3
Detlef Schrempf,1993,IND,AST,6.0
Michael Jordan,1993,CHI,AST,5.5
Nate McMillan,1993,SEA,AST,5.3
Terry Porter,1993,POR,AST,5.2
Charles Barkley,1993,PHO,AST,5.1
Gary Grant,1993,LAC,AST,4.8
Patrick Ewing,1993,NYK,DRB,9.7
Hakeem Olajuwon,1993,HOU,DRB,9.6
Charles Barkley,1993,PHO,DRB,9.1
David Robinson,1993,SAS,DRB,8.9
Karl Malone,1993,UTA,DRB,8.4
Derrick Coleman,1993,NJN,DRB,8.0
Brad Daugherty,1993,CLE,DRB,7.9
Larry Johnson,1993,CHH,DRB,7.1
Detlef Schrempf,1993,IND,DRB,7.0
Shawn Kemp,1993,SEA,DRB,7.0
Robert Parish,1993,BOS,DRB,6.3
Larry Nance,1993,CLE,DRB,6.3
Vlade Divac,1993,LAL,DRB,6.2
Terry Davis,1993,DAL,DRB,5.9
LaPhonso Ellis,1993,DEN,DRB,5.7
Dennis Rodman,1993,DET,ORB,5.9
Horace Grant,1993,CHI,ORB,4.4
Shawn Kemp,1993,SEA,ORB,3.7
Hakeem Olajuwon,1993,HOU,ORB,3.5
Charles Oakley,1993,NYK,ORB,3.5
Terry Davis,1993,DAL,ORB,3.5
Larry Johnson,1993,CHH,ORB,3.4
Michael Cage,1993,SEA,ORB,3.3
Derrick Coleman,1993,NJN,ORB,3.3
LaPhonso Ellis,1993,DEN,ORB,3.3
Robert Parish,1993,BOS,ORB,3.1
Charles Barkley,1993,PHO,ORB,3.1
Chris Dudley,1993,NJN,ORB,3.0
Chris Morris,1993,NJN,ORB,2.9
Anthony Mason,1993,NYK,ORB,2.9
Karl Malone,1993,UTA,FT,7.5
David Robinson,1993,SAS,FT,6.8
Detlef Schrempf,1993,IND,FT,6.4
Michael Jordan,1993,CHI,FT,6.1
Charles Barkley,1993,PHO,FT,5.9
Derrick Coleman,1993,NJN,FT,5.5
Brad Daugherty,1993,CLE,FT,5.5
Micheal Williams,1993,MIN,FT,5.5
Hakeem Olajuwon,1993,HOU,FT,5.4
Reggie Miller,1993,IND,FT,5.2
Hersey Hawkins,1993,PHI,FT,5.2
Patrick Ewing,1993,NYK,FT,4.9
Shawn Kemp,1993,SEA,FT,4.6
Joe Dumars,1993,DET,FT,4.5
Lionel Simmons,1993,SAC,FT,4.3
Michael Jordan,1993,CHI,STL,2.8
Mookie Blaylock,1993,ATL,STL,2.5
John Stockton,1993,UTA,STL,2.4
Nate McMillan,1993,SEA,STL,2.4
Micheal Williams,1993,MIN,STL,2.2
Ron Harper,1993,LAC,STL,2.2
Scottie Pippen,1993,CHI,STL,2.1
Chris Morris,1993,NJN,STL,1.9
Hakeem Olajuwon,1993,HOU,STL,1.8
Hersey Hawkins,1993,PHI,STL,1.7
Dan Majerle,1993,PHO,STL,1.7
Sedale Threatt,1993,LAL,STL,1.7
Vlade Divac,1993,LAL,STL,1.6
Charles Barkley,1993,PHO,STL,1.6
Latrell Sprewell,1993,GSW,STL,1.6
Hakeem Olajuwon,1993,HOU,BLK,4.2
David Robinson,1993,SAS,BLK,3.2
Larry Nance,1993,CLE,BLK,2.6
Patrick Ewing,1993,NYK,BLK,2.0
Shawn Kemp,1993,SEA,BLK,1.9
Stanley Roberts,1993,LAC,BLK,1.8
Vlade Divac,1993,LAL,BLK,1.7
Derrick Coleman,1993,NJN,BLK,1.7
Hot Rod Williams,1993,CLE,BLK,1.6
