Player,Year,Team,Stat,Value-Stat
Glenn Robinson,2001,MIL,AST,3.3
Tim Duncan,2001,SAS,DRB,9.0
Charles Oakley,2001,TOR,DRB,7.7
Dirk Nowitzki,2001,DAL,DRB,7.7
Anthony Mason,2001,MIA,DRB,7.5
Karl Malone,2001,UTA,DRB,6.9
Lamar Odom,2001,LAC,DRB,6.3
Elton Brand,2001,CHI,DRB,6.2
Brian Grant,2001,MIA,DRB,6.1
P.J. Brown,2001,CHH,DRB,6.1
David Robinson,2001,SAS,DRB,6.0
Vlade Divac,2001,SAC,DRB,5.8
Patrick Ewing,2001,SEA,DRB,5.8
Kenyon Martin,2001,NJN,DRB,5.4
Hakeem Olajuwon,2001,HOU,DRB,5.3
Glenn Robinson,2001,MIL,DRB,5.3
Elton Brand,2001,CHI,ORB,3.9
P.J. Brown,2001,CHH,ORB,3.2
Tim Duncan,2001,SAS,ORB,3.2
Horace Grant,2001,LAL,ORB,2.9
Vlade Divac,2001,SAC,ORB,2.6
David Robinson,2001,SAS,ORB,2.6
Brian Grant,2001,MIA,ORB,2.6
Alan Henderson,2001,ATL,ORB,2.5
Ervin Johnson,2001,MIL,ORB,2.5
George Lynch,2001,PHI,ORB,2.4
LaPhonso Ellis,2001,MIN,ORB,2.4
Scot Pollard,2001,SAC,ORB,2.2
Anthony Mason,2001,MIA,ORB,2.1
Hakeem Olajuwon,2001,HOU,ORB,2.1
Kenyon Martin,2001,NJN,ORB,2.0
Kobe Bryant,2001,LAL,FT,7.0
Paul Pierce,2001,BOS,FT,6.7
Karl Malone,2001,UTA,FT,6.6
Dirk Nowitzki,2001,DAL,FT,5.5
Tim Duncan,2001,SAS,FT,5.0
Anthony Mason,2001,MIA,FT,4.6
Elton Brand,2001,CHI,FT,4.5
David Robinson,2001,SAS,FT,4.4
Reggie Miller,2001,IND,FT,4.0
Jason Terry,2001,ATL,FT,3.7
Richard Hamilton,2001,WAS,FT,3.6
Latrell Sprewell,2001,NYK,FT,3.6
Allan Houston,2001,NYK,FT,3.6
Lamar Odom,2001,LAC,FT,3.4
Brian Grant,2001,MIA,FT,3.4
Mookie Blaylock,2001,GSW,STL,2.4
Kobe Bryant,2001,LAL,STL,1.7
Paul Pierce,2001,BOS,STL,1.7
John Stockton,2001,UTA,STL,1.6
Scottie Pippen,2001,POR,STL,1.5
Latrell Sprewell,2001,NYK,STL,1.4
Fred Hoiberg,2001,CHI,STL,1.3
Jason Terry,2001,ATL,STL,1.3
Bryon Russell,2001,UTA,STL,1.2
Bryant Stith,2001,BOS,STL,1.2
Lindsey Hunter,2001,MIL,STL,1.2
George Lynch,2001,PHI,STL,1.2
Hakeem Olajuwon,2001,HOU,STL,1.2
Randy Brown,2001,BOS,STL,1.1
Karl Malone,2001,UTA,STL,1.1
David Robinson,2001,SAS,BLK,2.5
Tim Duncan,2001,SAS,BLK,2.3
Greg Ostertag,2001,UTA,BLK,1.8
Kenyon Martin,2001,NJN,BLK,1.7
Elton Brand,2001,CHI,BLK,1.6
Lamar Odom,2001,LAC,BLK,1.6
Hakeem Olajuwon,2001,HOU,BLK,1.5
Scot Pollard,2001,SAC,BLK,1.3
Patrick Ewing,2001,SEA,BLK,1.2
P.J. Brown,2001,CHH,BLK,1.2
Dirk Nowitzki,2001,DAL,BLK,1.2
Ervin Johnson,2001,MIL,BLK,1.2
Vlade Divac,2001,SAC,BLK,1.1
Robert Traylor,2001,CLE,BLK,1.1
Arvydas Sabonis,2001,POR,BLK,1.0
Reggie Miller,2001,IND,3P,2.1
Lindsey Hunter,2001,MIL,3P,1.9
Dirk Nowitzki,2001,DAL,3P,1.8
Paul Pierce,2001,BOS,3P,1.8
Jason Terry,2001,ATL,3P,1.5
Eric Piatkowski,2001,LAC,3P,1.5
Fred Hoiberg,2001,CHI,3P,1.4
Rick Fox,2001,LAL,3P,1.4
Matt Bullard,2001,HOU,3P,1.4
Pat Garrity,2001,ORL,3P,1.3
Steve Nash,2001,DAL,3P,1.3
Michael Dickerson,2001,VAN,3P,1.2
Bryant Stith,2001,BOS,3P,1.2
Bryon Russell,2001,UTA,3P,1.2
Allan Houston,2001,NYK,3P,1.2
Todd MacCulloch,2002,NJN,PTS,9.7
Anthony Mason,2002,MIL,PTS,9.6
Bryon Russell,2002,UTA,PTS,9.6
Rodney Buford,2002,MEM,PTS,9.4
Jamaal Tinsley,2002,IND,PTS,9.4
Brian Grant,2002,MIA,PTS,9.3
Tony Parker,2002,SAS,PTS,9.2
Lucious Harris,2002,NJN,PTS,9.1
Eddie Griffin,2002,HOU,PTS,8.8
Eric Piatkowski,2002,LAC,PTS,8.8
P.J. Brown,2002,CHH,PTS,8.4
DerMarr Johnson,2002,ATL,PTS,8.4
Rasho Nesterović,2002,MIN,PTS,8.4
Jumaine Jones,2002,CLE,PTS,8.3
Horace Grant,2002,ORL,PTS,8.0
John Stockton,2002,UTA,AST,8.2
Jamaal Tinsley,2002,IND,AST,8.1
Steve Nash,2002,DAL,AST,7.7
Scottie Pippen,2002,POR,AST,5.9
Jason Terry,2002,ATL,AST,5.7
Kobe Bryant,2002,LAL,AST,5.5
Michael Jordan,2002,WAS,AST,5.2
Jacque Vaughn,2002,ATL,AST,4.3
Karl Malone,2002,UTA,AST,4.3
Tony Parker,2002,SAS,AST,4.3
Anthony Mason,2002,MIL,AST,4.2
Latrell Sprewell,2002,NYK,AST,3.9
Tim Duncan,2002,SAS,AST,3.7
Vlade Divac,2002,SAC,AST,3.7
Rick Fox,2002,LAL,AST,3.5
Tim Duncan,2002,SAS,DRB,9.4
Dirk Nowitzki,2002,DAL,DRB,8.4
Danny Fortson,2002,GSW,DRB,7.9
Karl Malone,2002,UTA,DRB,6.8
Elton Brand,2002,LAC,DRB,6.6
P.J. Brown,2002,CHH,DRB,6.4
Anthony Mason,2002,MIL,DRB,6.4
Paul Pierce,2002,BOS,DRB,5.9
Derrick Coleman,2002,PHI,DRB,5.9
David Robinson,2002,SAS,DRB,5.8
Vlade Divac,2002,SAC,DRB,5.8
Brian Grant,2002,MIA,DRB,5.7
Samaki Walker,2002,LAL,DRB,5.1
Glenn Robinson,2002,MIL,DRB,5.1
Charles Oakley,2002,CHI,DRB,4.8
Elton Brand,2002,LAC,ORB,5.0
Danny Fortson,2002,GSW,ORB,3.8
P.J. Brown,2002,CHH,ORB,3.4
Tim Duncan,2002,SAS,ORB,3.3
Derrick Coleman,2002,PHI,ORB,2.9
Popeye Jones,2002,WAS,ORB,2.9
Vlade Divac,2002,SAC,ORB,2.6
Jeff Foster,2002,IND,ORB,2.5
Todd MacCulloch,2002,NJN,ORB,2.5
Matt Harpring,2002,PHI,ORB,2.5
Scot Pollard,2002,SAC,ORB,2.4
David Robinson,2002,SAS,ORB,2.4
Rasho Nesterović,2002,MIN,ORB,2.4
Brian Grant,2002,MIA,ORB,2.3
Erick Dampier,2002,GSW,ORB,2.3
Tim Duncan,2002,SAS,FT,6.8
Karl Malone,2002,UTA,FT,6.4
Paul Pierce,2002,BOS,FT,6.3
Kobe Bryant,2002,LAL,FT,6.1
Dirk Nowitzki,2002,DAL,FT,5.8
Elton Brand,2002,LAC,FT,4.9
Richard Hamilton,2002,WAS,FT,4.8
Michael Jordan,2002,WAS,FT,4.4
Allan Houston,2002,NYK,FT,3.8
Reggie Miller,2002,IND,FT,3.7
Glenn Robinson,2002,MIL,FT,3.6
Jason Terry,2002,ATL,FT,3.6
Andrei Kirilenko,2002,UTA,FT,3.5
Latrell Sprewell,2002,NYK,FT,3.5
Zydrunas Ilgauskas,2002,CLE,FT,3.4
Paul Pierce,2002,BOS,STL,1.9
John Stockton,2002,UTA,STL,1.9
Karl Malone,2002,UTA,STL,1.9
Jason Terry,2002,ATL,STL,1.8
Jamaal Tinsley,2002,IND,STL,1.7
Scottie Pippen,2002,POR,STL,1.6
Kerry Kittles,2002,NJN,STL,1.6
Glenn Robinson,2002,MIL,STL,1.5
Kobe Bryant,2002,LAL,STL,1.5
Andrei Kirilenko,2002,UTA,STL,1.4
Michael Jordan,2002,WAS,STL,1.4
Morris Peterson,2002,TOR,STL,1.2
Tony Parker,2002,SAS,STL,1.2
Kenyon Martin,2002,NJN,STL,1.2
Hakeem Olajuwon,2002,TOR,STL,1.2
Tim Duncan,2002,SAS,BLK,2.5
Erick Dampier,2002,GSW,BLK,2.3
Elton Brand,2002,LAC,BLK,2.0
Andrei Kirilenko,2002,UTA,BLK,1.9
Eddie Griffin,2002,HOU,BLK,1.8
David Robinson,2002,SAS,BLK,1.8
Kenyon Martin,2002,NJN,BLK,1.7
Hakeem Olajuwon,2002,TOR,BLK,1.5
Jerome James,2002,SEA,BLK,1.5
Greg Ostertag,2002,UTA,BLK,1.5
Zydrunas Ilgauskas,2002,CLE,BLK,1.4
Todd MacCulloch,2002,NJN,BLK,1.4
Rasho Nesterović,2002,MIN,BLK,1.3
Samaki Walker,2002,LAL,BLK,1.3
Vlade Divac,2002,SAC,BLK,1.2
Paul Pierce,2002,BOS,3P,2.6
Reggie Miller,2002,IND,3P,2.3
Jason Terry,2002,ATL,3P,2.2
Pat Garrity,2002,ORL,3P,2.1
Steve Nash,2002,DAL,3P,1.9
Allan Houston,2002,NYK,3P,1.8
Latrell Sprewell,2002,NYK,3P,1.8
Dirk Nowitzki,2002,DAL,3P,1.8
Quentin Richardson,2002,LAC,3P,1.6
Eric Piatkowski,2002,LAC,3P,1.6
Lamond Murray,2002,CLE,3P,1.4
Michael Redd,2002,MIL,3P,1.3
Morris Peterson,2002,TOR,3P,1.3
Bryon Russell,2002,UTA,3P,1.2
Dan Majerle,2002,PHO,3P,1.2
Vlade Divac,2003,SAC,PTS,9.9
Jumaine Jones,2003,CLE,PTS,9.8
Eric Piatkowski,2003,LAC,PTS,9.7
Jay Williams,2003,CHI,PTS,9.5
Derrick Coleman,2003,PHI,PTS,9.4
Predrag Drobnjak,2003,SEA,PTS,9.4
Quentin Richardson,2003,LAC,PTS,9.4
Rick Fox,2003,LAL,PTS,9.0
Glen Rice,2003,HOU,PTS,9.0
Eddie Griffin,2003,HOU,PTS,8.6
Calbert Cheaney,2003,UTA,PTS,8.6
David Robinson,2003,SAS,PTS,8.5
Erick Dampier,2003,GSW,PTS,8.2
Jamaal Tinsley,2003,IND,PTS,7.8
Manu Ginóbili,2003,SAS,PTS,7.6
John Stockton,2003,UTA,AST,7.7
Jamaal Tinsley,2003,IND,AST,7.5
Jason Terry,2003,ATL,AST,7.4
Steve Nash,2003,DAL,AST,7.3
Kobe Bryant,2003,LAL,AST,5.9
Troy Hudson,2003,MIN,AST,5.7
Tony Parker,2003,SAS,AST,5.3
Jay Williams,2003,CHI,AST,4.7
Karl Malone,2003,UTA,AST,4.7
Scottie Pippen,2003,POR,AST,4.5
Latrell Sprewell,2003,NYK,AST,4.5
Paul Pierce,2003,BOS,AST,4.4
Tim Duncan,2003,SAS,AST,3.9
Michael Jordan,2003,WAS,AST,3.8
Junior Harrington,2003,DEN,AST,3.4
Tim Duncan,2003,SAS,DRB,9.7
Dirk Nowitzki,2003,DAL,DRB,8.9
Brian Grant,2003,MIA,DRB,7.3
Elton Brand,2003,LAC,DRB,6.8
Karl Malone,2003,UTA,DRB,6.4
Kenyon Martin,2003,NJN,DRB,6.2
Paul Pierce,2003,BOS,DRB,6.0
P.J. Brown,2003,NOH,DRB,5.9
Yao Ming,2003,HOU,DRB,5.8
Kobe Bryant,2003,LAL,DRB,5.6
David Robinson,2003,SAS,DRB,5.4
Glenn Robinson,2003,ATL,DRB,5.4
Michael Jordan,2003,WAS,DRB,5.2
Vlade Divac,2003,SAC,DRB,5.2
Carlos Boozer,2003,CLE,DRB,5.0
Elton Brand,2003,LAC,ORB,4.6
Tim Duncan,2003,SAS,ORB,3.2
P.J. Brown,2003,NOH,ORB,3.1
Zydrunas Ilgauskas,2003,CLE,ORB,3.0
Erick Dampier,2003,GSW,ORB,3.0
Brian Grant,2003,MIA,ORB,2.9
Vladimir Stepania,2003,MIA,ORB,2.7
Carlos Boozer,2003,CLE,ORB,2.5
David Robinson,2003,SAS,ORB,2.5
Derrick Coleman,2003,PHI,ORB,2.4
Matt Harpring,2003,UTA,ORB,2.4
Yao Ming,2003,HOU,ORB,2.4
Greg Ostertag,2003,UTA,ORB,2.2
Kenyon Martin,2003,NJN,ORB,2.1
Vlade Divac,2003,SAC,ORB,2.0
Paul Pierce,2003,BOS,FT,7.6
Kobe Bryant,2003,LAL,FT,7.3
Dirk Nowitzki,2003,DAL,FT,6.0
Karl Malone,2003,UTA,FT,5.9
Tim Duncan,2003,SAS,FT,5.6
Richard Hamilton,2003,DET,FT,5.4
Corey Maggette,2003,LAC,FT,5.1
Zydrunas Ilgauskas,2003,CLE,FT,4.9
Allan Houston,2003,NYK,FT,4.4
Elton Brand,2003,LAC,FT,3.9
Glenn Robinson,2003,ATL,FT,3.9
Steve Nash,2003,DAL,FT,3.8
Yao Ming,2003,HOU,FT,3.7
Andrei Kirilenko,2003,UTA,FT,3.7
Matt Harpring,2003,UTA,FT,3.4
Kobe Bryant,2003,LAL,STL,2.2
Paul Pierce,2003,BOS,STL,1.8
Karl Malone,2003,UTA,STL,1.7
Jamaal Tinsley,2003,IND,STL,1.7
John Stockton,2003,UTA,STL,1.7
Scottie Pippen,2003,POR,STL,1.6
Jason Terry,2003,ATL,STL,1.6
Kerry Kittles,2003,NJN,STL,1.6
Michael Jordan,2003,WAS,STL,1.5
Marko Jarić,2003,LAC,STL,1.5
Andrei Kirilenko,2003,UTA,STL,1.5
Dirk Nowitzki,2003,DAL,STL,1.4
Manu Ginóbili,2003,SAS,STL,1.4
Latrell Sprewell,2003,NYK,STL,1.4
Glenn Robinson,2003,ATL,STL,1.3
Tim Duncan,2003,SAS,BLK,2.9
Elton Brand,2003,LAC,BLK,2.5
Andrei Kirilenko,2003,UTA,BLK,2.2
Zydrunas Ilgauskas,2003,CLE,BLK,1.9
Erick Dampier,2003,GSW,BLK,1.9
Greg Ostertag,2003,UTA,BLK,1.8
Yao Ming,2003,HOU,BLK,1.8
David Robinson,2003,SAS,BLK,1.7
Jerome James,2003,SEA,BLK,1.6
Rasho Nesterović,2003,MIN,BLK,1.5
Eddie Griffin,2003,HOU,BLK,1.4
Vlade Divac,2003,SAC,BLK,1.3
Derrick Coleman,2003,PHI,BLK,1.1
Dirk Nowitzki,2003,DAL,BLK,1.0
P.J. Brown,2003,NOH,BLK,1.0
Allan Houston,2003,NYK,3P,2.2
Michael Redd,2003,MIL,3P,2.2
Jason Terry,2003,ATL,3P,2.0
Pat Garrity,2003,ORL,3P,2.0
Dirk Nowitzki,2003,DAL,3P,1.9
Latrell Sprewell,2003,NYK,3P,1.8
Glen Rice,2003,HOU,3P,1.6
Reggie Miller,2003,IND,3P,1.6
Kobe Bryant,2003,LAL,3P,1.5
Paul Pierce,2003,BOS,3P,1.5
Rick Fox,2003,LAL,3P,1.4
Jumaine Jones,2003,CLE,3P,1.4
Morris Peterson,2003,TOR,3P,1.4
Steve Nash,2003,DAL,3P,1.4
Eric Piatkowski,2003,LAC,3P,1.3
Vlade Divac,2004,SAC,PTS,9.9
Brian Cardinal,2004,GSW,PTS,9.6
Jarvis Hayes,2004,WAS,PTS,9.6
Mehmet Okur,2004,DET,PTS,9.6
Etan Thomas,2004,WAS,PTS,8.9
Brian Grant,2004,MIA,PTS,8.7
Rasho Nesterović,2004,SAS,PTS,8.7
Marko Jarić,2004,LAC,PTS,8.5
Marquis Daniels,2004,DAL,PTS,8.5
Jamaal Tinsley,2004,IND,PTS,8.3
Morris Peterson,2004,TOR,PTS,8.3
Stanislav Medvedenko,2004,LAL,PTS,8.3
Samuel Dalembert,2004,PHI,PTS,8.0
Bobby Simmons,2004,LAC,PTS,7.8
Calbert Cheaney,2004,GSW,PTS,7.6
Steve Nash,2004,DAL,AST,8.8
T.J. Ford,2004,MIL,AST,6.5
LeBron James,2004,CLE,AST,5.9
Jamaal Tinsley,2004,IND,AST,5.8
Tony Parker,2004,SAS,AST,5.5
Jason Terry,2004,ATL,AST,5.4
Vlade Divac,2004,SAC,AST,5.3
Paul Pierce,2004,BOS,AST,5.1
Kobe Bryant,2004,LAL,AST,5.1
Marko Jarić,2004,LAC,AST,4.8
Lamar Odom,2004,MIA,AST,4.1
Richard Hamilton,2004,DET,AST,4.0
Manu Ginóbili,2004,SAS,AST,3.8
Raül López,2004,UTA,AST,3.7
Latrell Sprewell,2004,MIN,AST,3.5
Tim Duncan,2004,SAS,DRB,9.2
Carlos Boozer,2004,CLE,DRB,8.4
Lamar Odom,2004,MIA,DRB,7.7
Dirk Nowitzki,2004,DAL,DRB,7.5
Kenyon Martin,2004,NJN,DRB,7.4
Erick Dampier,2004,GSW,DRB,7.3
Yao Ming,2004,HOU,DRB,6.6
Elton Brand,2004,LAC,DRB,6.4
Paul Pierce,2004,BOS,DRB,5.7
P.J. Brown,2004,NOH,DRB,5.7
Samuel Dalembert,2004,PHI,DRB,5.3
Andrei Kirilenko,2004,UTA,DRB,5.2
Chris Bosh,2004,TOR,DRB,4.9
Zydrunas Ilgauskas,2004,CLE,DRB,4.6
Rasho Nesterović,2004,SAS,DRB,4.6
Erick Dampier,2004,GSW,ORB,4.6
Elton Brand,2004,LAC,ORB,3.9
Zydrunas Ilgauskas,2004,CLE,ORB,3.4
Tim Duncan,2004,SAS,ORB,3.3
Rasho Nesterović,2004,SAS,ORB,3.1
Carlos Boozer,2004,CLE,ORB,3.1
P.J. Brown,2004,NOH,ORB,3.0
Jeff Foster,2004,IND,ORB,3.0
Andrei Kirilenko,2004,UTA,ORB,2.9
Greg Ostertag,2004,UTA,ORB,2.8
Chris Bosh,2004,TOR,ORB,2.5
Udonis Haslem,2004,MIA,ORB,2.5
Yao Ming,2004,HOU,ORB,2.4
Samuel Dalembert,2004,PHI,ORB,2.4
Mehmet Okur,2004,DET,ORB,2.3
Corey Maggette,2004,LAC,FT,7.2
Kobe Bryant,2004,LAL,FT,7.0
Paul Pierce,2004,BOS,FT,6.5
Elton Brand,2004,LAC,FT,6.0
Tim Duncan,2004,SAS,FT,5.1
Andrei Kirilenko,2004,UTA,FT,5.0
Dirk Nowitzki,2004,DAL,FT,4.8
Michael Redd,2004,MIL,FT,4.7
LeBron James,2004,CLE,FT,4.4
Yao Ming,2004,HOU,FT,4.4
Lamar Odom,2004,MIA,FT,4.3
Richard Hamilton,2004,DET,FT,3.8
Zydrunas Ilgauskas,2004,CLE,FT,3.7
Eddy Curry,2004,CHI,FT,3.2
Allan Houston,2004,NYK,FT,3.1
Andrei Kirilenko,2004,UTA,STL,1.9
Manu Ginóbili,2004,SAS,STL,1.8
Kobe Bryant,2004,LAL,STL,1.7
Paul Pierce,2004,BOS,STL,1.6
Marko Jarić,2004,LAC,STL,1.6
Jamaal Tinsley,2004,IND,STL,1.6
LeBron James,2004,CLE,STL,1.6
Kenyon Martin,2004,NJN,STL,1.5
Jason Terry,2004,ATL,STL,1.5
Kerry Kittles,2004,NJN,STL,1.5
Richard Hamilton,2004,DET,STL,1.3
Dirk Nowitzki,2004,DAL,STL,1.2
Lamar Odom,2004,MIA,STL,1.1
Latrell Sprewell,2004,MIN,STL,1.1
Morris Peterson,2004,TOR,STL,1.1
Andrei Kirilenko,2004,UTA,BLK,2.8
Tim Duncan,2004,SAS,BLK,2.7
Zydrunas Ilgauskas,2004,CLE,BLK,2.5
Samuel Dalembert,2004,PHI,BLK,2.3
Elton Brand,2004,LAC,BLK,2.2
Rasho Nesterović,2004,SAS,BLK,2.0
Erick Dampier,2004,GSW,BLK,1.9
Yao Ming,2004,HOU,BLK,1.9
Greg Ostertag,2004,UTA,BLK,1.8
Etan Thomas,2004,WAS,BLK,1.6
Dirk Nowitzki,2004,DAL,BLK,1.4
Chris Bosh,2004,TOR,BLK,1.4
Kenyon Martin,2004,NJN,BLK,1.3
Steven Hunter,2004,ORL,BLK,1.2
Eddy Curry,2004,CHI,BLK,1.1
Quentin Richardson,2004,LAC,3P,1.8
Jason Terry,2004,ATL,3P,1.8
Reggie Miller,2004,IND,3P,1.7
Allan Houston,2004,NYK,3P,1.7
Jamaal Tinsley,2004,IND,3P,1.5
Michael Redd,2004,MIL,3P,1.5
Morris Peterson,2004,TOR,3P,1.5
Paul Pierce,2004,BOS,3P,1.4
Dirk Nowitzki,2004,DAL,3P,1.3
Steve Nash,2004,DAL,3P,1.3
Latrell Sprewell,2004,MIN,3P,1.2
Kerry Kittles,2004,NJN,3P,1.2
Manu Ginóbili,2004,SAS,3P,1.1
Kobe Bryant,2004,LAL,3P,1.1
Corey Maggette,2004,LAC,3P,1.0
Marko Jarić,2005,LAC,PTS,9.9
Erick Dampier,2005,DAL,PTS,9.2
Chris Kaman,2005,LAC,PTS,9.1
Marquis Daniels,2005,DAL,PTS,9.1
Andre Iguodala,2005,PHI,PTS,9.0
Brian Cardinal,2005,MEM,PTS,9.0
Troy Hudson,2005,MIN,PTS,8.7
Jason Kapono,2005,CHA,PTS,8.5
Predrag Drobnjak,2005,ATL,PTS,8.4
Mike Sweetney,2005,NYK,PTS,8.4
Samuel Dalembert,2005,PHI,PTS,8.2
Willie Green,2005,PHI,PTS,7.7
Jumaine Jones,2005,LAL,PTS,7.6
Eddie Griffin,2005,MIN,PTS,7.5
Darius Songaila,2005,SAC,PTS,7.5
LeBron James,2005,CLE,AST,7.2
Marko Jarić,2005,LAC,AST,6.1
Tony Parker,2005,SAS,AST,6.1
Kobe Bryant,2005,LAL,AST,6.0
Jason Terry,2005,DAL,AST,5.4
Richard Hamilton,2005,DET,AST,4.9
Chris Duhon,2005,CHI,AST,4.9
Paul Pierce,2005,BOS,AST,4.2
Manu Ginóbili,2005,SAS,AST,3.9
Lamar Odom,2005,LAL,AST,3.7
Troy Hudson,2005,MIN,AST,3.6
Corey Maggette,2005,LAC,AST,3.4
Grant Hill,2005,ORL,AST,3.3
Dirk Nowitzki,2005,DAL,AST,3.1
Andre Iguodala,2005,PHI,AST,3.0
Dirk Nowitzki,2005,DAL,DRB,8.5
Lamar Odom,2005,LAL,DRB,8.1
Tim Duncan,2005,SAS,DRB,8.0
Emeka Okafor,2005,CHA,DRB,7.1
Dwight Howard,2005,ORL,DRB,6.5
Chris Bosh,2005,TOR,DRB,6.5
Carlos Boozer,2005,UTA,DRB,6.2
Udonis Haslem,2005,MIA,DRB,6.1
LeBron James,2005,CLE,DRB,6.0
Elton Brand,2005,LAC,DRB,5.9
Yao Ming,2005,HOU,DRB,5.8
Jeff Foster,2005,IND,DRB,5.7
P.J. Brown,2005,NOH,DRB,5.7
Paul Pierce,2005,BOS,DRB,5.6
Erick Dampier,2005,DAL,DRB,5.4
Zydrunas Ilgauskas,2005,CLE,ORB,3.8
Emeka Okafor,2005,CHA,ORB,3.8
Elton Brand,2005,LAC,ORB,3.7
Dwight Howard,2005,ORL,ORB,3.5
Jeff Foster,2005,IND,ORB,3.4
P.J. Brown,2005,NOH,ORB,3.2
Erick Dampier,2005,DAL,ORB,3.1
Tim Duncan,2005,SAS,ORB,3.1
Udonis Haslem,2005,MIA,ORB,3.0
Carlos Boozer,2005,UTA,ORB,2.8
Rasho Nesterović,2005,SAS,ORB,2.6
Samuel Dalembert,2005,PHI,ORB,2.6
Yao Ming,2005,HOU,ORB,2.6
Matt Harpring,2005,UTA,ORB,2.5
Danny Fortson,2005,SEA,ORB,2.5
Corey Maggette,2005,LAC,FT,8.5
Kobe Bryant,2005,LAL,FT,8.2
Dirk Nowitzki,2005,DAL,FT,7.9
Paul Pierce,2005,BOS,FT,6.7
LeBron James,2005,CLE,FT,6.0
Zydrunas Ilgauskas,2005,CLE,FT,5.2
Chris Bosh,2005,TOR,FT,5.1
Michael Redd,2005,MIL,FT,4.9
Yao Ming,2005,HOU,FT,4.9
Manu Ginóbili,2005,SAS,FT,4.8
Richard Hamilton,2005,DET,FT,4.8
Tim Duncan,2005,SAS,FT,4.6
Elton Brand,2005,LAC,FT,4.5
Grant Hill,2005,ORL,FT,4.2
Mehmet Okur,2005,UTA,FT,4.0
LeBron James,2005,CLE,STL,2.2
Andre Iguodala,2005,PHI,STL,1.7
Marko Jarić,2005,LAC,STL,1.7
Paul Pierce,2005,BOS,STL,1.6
Manu Ginóbili,2005,SAS,STL,1.6
Brian Cardinal,2005,MEM,STL,1.5
Bobby Simmons,2005,LAC,STL,1.4
Jason Terry,2005,DAL,STL,1.4
Marquis Daniels,2005,DAL,STL,1.4
Kenyon Martin,2005,DEN,STL,1.4
Grant Hill,2005,ORL,STL,1.4
Kobe Bryant,2005,LAL,STL,1.3
Quentin Richardson,2005,PHO,STL,1.2
Tony Parker,2005,SAS,STL,1.2
Dirk Nowitzki,2005,DAL,STL,1.2
Tim Duncan,2005,SAS,BLK,2.6
Zydrunas Ilgauskas,2005,CLE,BLK,2.1
Elton Brand,2005,LAC,BLK,2.1
Yao Ming,2005,HOU,BLK,2.0
Rasho Nesterović,2005,SAS,BLK,1.7
Samuel Dalembert,2005,PHI,BLK,1.7
Emeka Okafor,2005,CHA,BLK,1.7
Eddie Griffin,2005,MIN,BLK,1.7
Dwight Howard,2005,ORL,BLK,1.7
Dirk Nowitzki,2005,DAL,BLK,1.5
Jerome James,2005,SEA,BLK,1.4
Erick Dampier,2005,DAL,BLK,1.4
Chris Bosh,2005,TOR,BLK,1.4
Steven Hunter,2005,PHO,BLK,1.3
Kenyon Martin,2005,DEN,BLK,1.1
Quentin Richardson,2005,PHO,3P,2.9
Kobe Bryant,2005,LAL,3P,2.0
Morris Peterson,2005,TOR,3P,1.6
Ben Gordon,2005,CHI,3P,1.6
Reggie Miller,2005,IND,3P,1.5
LeBron James,2005,CLE,3P,1.4
Michael Redd,2005,MIL,3P,1.4
Manu Ginóbili,2005,SAS,3P,1.3
Jumaine Jones,2005,LAL,3P,1.3
Jason Terry,2005,DAL,3P,1.3
Steve Nash,2005,PHO,3P,1.3
Paul Pierce,2005,BOS,3P,1.3
Dirk Nowitzki,2005,DAL,3P,1.2
Troy Hudson,2005,MIN,3P,1.1
Marko Jarić,2005,LAC,3P,1.1
Salim Stoudamire,2006,ATL,PTS,9.7
Keyon Dooling,2006,ORL,PTS,9.4
Udonis Haslem,2006,MIA,PTS,9.3
James Jones,2006,PHO,PTS,9.3
Darius Songaila,2006,CHI,PTS,9.2
P.J. Brown,2006,NOK,PTS,9.0
Chris Duhon,2006,CHI,PTS,8.7
Quentin Richardson,2006,NYK,PTS,8.2
Mike Sweetney,2006,CHI,PTS,8.1
Al Jefferson,2006,BOS,PTS,7.9
Marko Jarić,2006,MIN,PTS,7.8
Ryan Gomes,2006,BOS,PTS,7.6
Nick Collison,2006,SEA,PTS,7.5
Matt Bonner,2006,TOR,PTS,7.5
Samuel Dalembert,2006,PHI,PTS,7.3
Chris Paul,2006,NOK,AST,7.8
LeBron James,2006,CLE,AST,6.6
T.J. Ford,2006,MIL,AST,6.6
Tony Parker,2006,SAS,AST,5.8
Lamar Odom,2006,LAL,AST,5.5
Chris Duhon,2006,CHI,AST,5.0
Paul Pierce,2006,BOS,AST,4.7
Kobe Bryant,2006,LAL,AST,4.5
Andrei Kirilenko,2006,UTA,AST,4.3
Marko Jarić,2006,MIN,AST,3.9
Jason Terry,2006,DAL,AST,3.8
Manu Ginóbili,2006,SAS,AST,3.6
Richard Hamilton,2006,DET,AST,3.4
Tim Duncan,2006,SAS,AST,3.2
Andre Iguodala,2006,PHI,AST,3.1
Dwight Howard,2006,ORL,DRB,9.0
Tim Duncan,2006,SAS,DRB,8.1
Dirk Nowitzki,2006,DAL,DRB,7.6
Yao Ming,2006,HOU,DRB,7.6
Chris Kaman,2006,LAC,DRB,7.2
Lamar Odom,2006,LAL,DRB,7.0
Elton Brand,2006,LAC,DRB,7.0
Mehmet Okur,2006,UTA,DRB,6.5
